maturity_years,rate_pct
0.5,3.9141353771090786
1.0,4.155532282435724
1.5,4.20471338247177
2.0,4.22574758930818
2.5,4.245842902004713
3.0,4.270306552385411
3.5,4.299989890846648
4.0,4.334888638971489
4.5,4.374730402469211
5.0,4.4190058724352
5.5,4.467025162413784
6.0,4.518020846790148
6.5,4.571223355159182
7.0,4.625909742981138
7.5,4.681431404596639
8.0,4.737230116784027
8.5,4.792831461244226
9.0,4.84784131358555
9.5,4.901934733399063
10.0,4.954848377486277
10.5,5.00637277028977
11.0,5.056345863206559
11.5,5.104640268529929
12.0,5.151154639993338
12.5,5.19580692554551
13.0,5.238530624134982
13.5,5.279272372573013
14.0,5.317990874822601
14.5,5.354659791751524
15.0,5.389267676440768
15.5,5.421817358197484
16.0,5.452323337004246
16.5,5.480811657392895
17.0,5.507319660821764
17.5,5.53189654844134
18.0,5.554604033553703
18.5,5.5755147063317425
19.0,5.594708578521923
19.5,5.612269739938623
20.0,5.6282824712639945
20.5,5.642829245670036
21.0,5.655988267054214
21.5,5.667832685736702
22.0,5.678429304699048
22.5,5.687837257037534
23.0,5.69610847009354
23.5,5.703287764994075
24.0,5.709412434594
24.5,5.714512694618547
25.0,5.718612263373754
25.5,5.721728892374709
26.0,5.7238752830475335
26.5,5.725060361364809
27.0,5.725290451980317
27.5,5.724570668055894
28.0,5.722905400937136
28.5,5.720299353574953
29.0,5.716757949009781
29.5,5.712287494221009
30.0,5.70689547066195
30.5,5.70059071560566
31.0,5.693383026482352
31.5,5.685282919488376
32.0,5.676301399328066
32.5,5.666449614784285
33.0,5.655738790799442
33.5,5.644180222678085
34.0,5.631785266865557
34.5,5.618565230147493
35.0,5.604531183524682
35.5,5.589693943341478
36.0,5.574064132105435
36.5,5.557652450124842
37.0,5.540469829154818
37.5,5.522527424200362
38.0,5.5038366451615826
38.5,5.484409409729309
39.0,5.464258272737413
39.5,5.443396393799836
40.0,5.42183752407795
