maturity_years,rate_pct
2.5,4.083991243038361
3.0,3.9237814664440935
3.5,3.7977547247200256
4.0,3.6964858743969136
4.5,3.613955485179261
5.0,3.54631515925787
5.5,3.490863927845467
6.0,3.445541082919889
6.5,3.408689440308645
7.0,3.3789470450211354
7.5,3.355168524504559
8.0,3.336389169483035
8.5,3.3217882651749346
9.0,3.310671355362877
9.5,3.302449451152408
10.0,3.2966262803039825
10.5,3.292787354433333
11.0,3.2905881839512574
11.5,3.289737913391562
12.0,3.289987053850055
12.5,3.2911176052837785
13.0,3.2929369262846264
13.5,3.2952738291722365
14.0,3.2979765145445885
14.5,3.3009150274528802
15.0,3.30398093225222
15.5,3.307085816800243
16.0,3.3101584226166105
16.5,3.313144124221739
17.0,3.316004037255169
17.5,3.3187151395815833
18.0,3.3212704218448876
18.5,3.323676829112584
19.0,3.325951464940162
19.5,3.3281179980036297
20.0,3.3302025920264073
20.5,3.332231873464637
21.0,3.334230475011344
21.5,3.3362200199751175
22.0,3.3382176985766203
22.5,3.3402349901258233
23.0,3.3422780322047356
23.5,3.344347564345186
24.0,3.3464384128478355
24.5,3.348539965634546
25.0,3.3506367229599388
25.5,3.352708780716499
26.0,3.3547327226691417
26.5,3.3566829045317763
27.0,3.3585326536012694
27.5,3.3602555350660643
28.0,3.361825712273549
28.5,3.363218865828905
29.0,3.3644125728361933
29.5,3.365386559517183
30.0,3.366122953089591
30.5,3.366606402189609
31.0,3.366823642759429
31.5,3.366763282298059
32.0,3.3664155113842718
32.5,3.3657716735035494
33.0,3.3648241184675407
33.5,3.3635661269345234
34.0,3.3619918379171247
34.5,3.3600960802127213
35.0,3.357874133460835
35.5,3.3553216609175385
36.0,3.3524347247716917
36.5,3.3492099995251
37.0,3.345644867532961
37.5,3.341737376378364
38.0,3.3374862414397772
38.5,3.3328910719749603
39.0,3.32795247572402
39.5,3.3226720034954464
40.0,3.3170521047061006
