economy,econ_pct,carb_pct,ci,vuln
DEU,19.64187017992966,13.319092681176073,7.755855702970703e-05,0.295589152589316
FRA,13.738306455636456,7.263790612462808,6.047390768565934e-05,0.321209947161785
ITA,10.673769290564278,6.968328206444102,7.467043854542327e-05,0.357393597123316
ESP,7.030817505904596,5.33874771897342,8.685033326666106e-05,0.323034973499402
NLD,4.928034045840326,3.2287988825270455,7.493853704532071e-05,0.371475012358381
CHN,4.5490657193500565,11.907747724569774,0.0002993955423778471,0.394127021337838
POL,3.8712020754709817,8.160958954334774,0.00024112001802425662,0.314307112750078
BEL,3.0610102577448006,1.6784583608595656,6.271677275913259e-05,0.365557735107329
USA,2.720541397862285,2.810075786103488,0.00011814099104363368,0.316878152294868
SWE,2.6822929571505387,0.8807055601660593,3.755453982432663e-05,0.323148191850965
AUT,2.4153350703193683,1.2535243786882502,5.935992083650435e-05,0.32277793492033
CZE,1.7144850621921146,2.162029725228378,0.00014423340985375135,0.305117504592286
DNK,1.6239218476566915,1.4496430271632572,0.00010210190896577322,0.341581596937965
GBR,1.6230391588195916,0.8591399664297132,6.054424114904393e-05,0.28150875662824
ROU,1.604893584082227,2.1417354220653695,0.00015263618209827113,0.39820979866064
IRL,1.591195075886306,0.8164464676646002,5.8687039800483495e-05,0.317435771967295
FIN,1.3755064009976559,0.936678194170708,7.78871315928744e-05,0.305513983672894
PRT,1.2218028531026537,1.0984210348177426,0.00010282663456730507,0.352331044146868
CHE,1.0134271187309993,0.17630532872374233,1.989806444064684e-05,0.296346485664518
RUS,0.985239120561901,4.0240806374141185,0.0004671570881348905,0.3098257268424
GRC,0.9320039302182787,1.5534440576557655,0.00019064077295103318,0.355585279739415
HUN,0.9243301092116172,1.0258561506055761,0.00012693964587822063,0.380366757382679
SVK,0.6960025692559213,0.6478503696451839,0.00010646375601642455,0.366808796798146
IND,0.5982355823150841,3.0044414407597877,0.0005744198228173644,0.474859584632094
JPN,0.5979486847496178,0.6279514660867536,0.00012011578380502324,0.35311478817066
NOR,0.5275268374052744,0.32018140504017784,6.942077584980279e-05,0.263479129443056
KOR,0.5118682136338123,0.6439849708291683,0.0001438982414562375,0.355877385957679
TUR,0.5115188261297278,1.1799054292545865,0.0002638295842162856,0.39576210822062
LUX,0.4506619097387029,0.10281941127643053,2.6095292903787643e-05,0.341472020693569
BGR,0.4470349726828471,1.1989855236625564,0.000306768211902863,0.361049975261115
LTU,0.33554951390195487,0.4390121974043198,0.0001496435107542459,0.373763903778594
SGP,0.3123016508516219,0.27657151921678774,0.0001012910542033798,0.379490531900278
HRV,0.31145513343897213,0.39581456004929677,0.00014535640995874568,0.398597553548534
