scenario,region,index,2025,2030,2035,2040,2045
Below 2?C,EU27,Basic Materials,1.4534174873115497,3.9074271636851226,4.0746346457319,4.290089210331416,4.584571657848819
Below 2?C,EU27,Consumer Goods,1.3532743057026655,3.5807200986730776,3.7389611580261293,3.939150520985523,4.208147603008139
Below 2?C,EU27,Consumer Services,0.280342361393104,0.7252363906942401,0.7587108526926043,0.8001122218592683,0.8543513676158487
Below 2?C,EU27,Financials,-0.433249962439631,-0.6761765871003694,-0.746748083766768,-0.8095635669849925,-0.8554501743516841
Below 2?C,EU27,Government,0.20987096599395014,0.45569535076861484,0.48478070857532135,0.5147650804787496,0.547089407196729
Below 2?C,EU27,Health Care,2.2359469902275433,5.980370253139558,6.238916952553311,6.570218802456615,7.020422620003439
Below 2?C,EU27,Industrials,1.0080553900714526,2.6335983742033537,2.752684352476292,2.901884155449682,3.0988976692064667
Below 2?C,EU27,Oil & Gas,0.9782193625435569,2.6391477850099245,2.751376793261262,2.896416958685432,3.0954761301628686
Below 2?C,EU27,Technology,0.06315249715841967,0.11565640446731293,0.12512479996200246,0.13434761350165397,0.14227001735562425
Below 2?C,EU27,Telecommunications,0.11785390890718048,0.2158356354845337,0.23350536305411923,0.25071679056178164,0.2655014198978083
Below 2?C,EU27,UK Real Estate,-0.4588074657576767,-0.8684343463860794,-0.9371858108968922,-1.003137918220032,-1.063478068873928
Below 2?C,EU27,Utilities,0.8806433727792344,3.0217452337407793,3.1023380042020365,3.231190361523252,3.4673241921802695
Below 2?C,EU27,FTSE,-1.0133398570036514,-2.6702994952628734,-2.789698475315075,-2.9393995930945316,-3.1400249062091192
Below 2?C,CHN,Basic Materials,2.160475746838285,7.9350163943768734,7.780598248455342,8.268016422047047,8.526506895779816
Below 2?C,CHN,Consumer Goods,2.301131033091831,8.449576675484169,8.285121734098185,8.804240052239926,9.07922996090716
Below 2?C,CHN,Consumer Services,0.5457617475949027,1.995128590736735,1.9569491273551616,2.0798138539563102,2.1447821046776743
Below 2?C,CHN,Financials,-0.22174267965014272,-0.6279117559832673,-0.629975177606345,-0.6745105230573017,-0.696651188190938
Below 2?C,CHN,Government,0.3390232826380389,1.5819230664815105,1.5203788434129784,1.6093893077280677,1.650877914272634
Below 2?C,CHN,Health Care,3.6959208321515913,13.544109168940324,13.282902709803611,14.115927098645841,14.557500546362668
Below 2?C,CHN,Industrials,1.7969178824764076,6.7843135330171584,6.635181100683085,7.0479959764229285,7.263269399259839
Below 2?C,CHN,Oil & Gas,1.4590946682352106,5.406557222130409,5.297347422363508,5.628248087458722,5.803501375670528
Below 2?C,CHN,Technology,0.08861439608951437,0.2879427911995248,0.28493573671073125,0.3039833097182061,0.3133085513993448
Below 2?C,CHN,Telecommunications,0.16537038810041846,0.5373529949161124,0.5317412908387233,0.5672874851324278,0.5846900619595873
Below 2?C,CHN,UK Real Estate,-0.44767524721819457,-1.9648198488882531,-1.8954658637041801,-2.0098575810914188,-2.0618998022408044
Below 2?C,CHN,Utilities,1.227372578558689,11.538499760855256,10.722410475133984,11.244995905202947,11.488000479107761
Below 2?C,CHN,FTSE,-1.8586492738233675,-7.123753017453794,-6.9597591049486045,-7.389667443590193,-7.6156284964684104
Below 2?C,USA,Basic Materials,0.8615083182933975,2.6936420035363158,2.7776554286015984,2.8848190255757253,3.0744924604998802
Below 2?C,USA,Consumer Goods,0.7501806536983907,2.267503195922539,2.3442865218591153,2.4389836077127423,2.5983729327360674
Below 2?C,USA,Consumer Services,0.14327521849346642,0.42060495981984497,0.43580985604445954,0.45408130299997435,0.4835844480838907
Below 2?C,USA,Financials,-0.25212772324389016,-0.45219041286719214,-0.491199845340572,-0.5267232931972388,-0.5574366596899794
Below 2?C,USA,Government,0.29300719350935434,0.829634022686389,0.8629870343708084,0.9018274682220006,0.9600720448580692
Below 2?C,USA,Health Care,1.2224075029136046,3.7670119632845145,3.8886136388391312,4.041807760906903,4.306731739569253
Below 2?C,USA,Industrials,0.526104380535714,1.5929092053271292,1.6462864768943,1.712807499570718,1.8245896260383507
