region,index,2025,2030,2035,2040,2045
EU27,Basic Materials,1.4522301531946227,3.2147017388360006,3.7272691543803895,3.943482345959987,3.9959989745620477
EU27,Consumer Goods,1.3521687811257639,2.9522933632063633,3.4232507970528885,3.6253130279213512,3.6768497070409403
EU27,Consumer Services,0.28011334250967385,0.5998632354389759,0.695667124838707,0.7378006685535408,0.7493716775835885
EU27,Financials,-0.4328960294052119,-0.6141775546874314,-0.7159320679570997,-0.7890959540778265,-0.8332422665323211
EU27,Government,0.20969951700544381,0.38667460235795215,0.44839364325431647,0.48069863820670305,0.4924530056894019
EU27,Health Care,2.2341203876386007,4.923553463748835,5.708768462335804,6.041857995215331,6.124183270686219
EU27,Industrials,1.0072318837033014,2.1743119322058346,2.521743890752097,2.672938810412906,2.7131376712301147
EU27,Oil & Gas,0.977420229993463,2.1701634575642315,2.5161028171729893,2.661399273770281,2.6960642181657724
EU27,Technology,0.06310090625965868,0.1012153888711215,0.1178303138317301,0.12820549474493795,0.1335703357199234
EU27,Telecommunications,0.11775763101863133,0.1888861051701365,0.21989254103434583,0.23925449315436098,0.24926625053556778
EU27,UK Real Estate,-0.4584326541416405,-0.7564611652377327,-0.8787513656085653,-0.9523642797508152,-0.9872335768370972
EU27,Utilities,0.8799239525641372,2.4075761921181993,2.781391207248034,2.893494277833552,2.870490010721546
EU27,FTSE,-1.012512033618584,-2.2029079858509526,-2.55415448048893,-2.7052274871338735,-2.743462030869323
CHN,Basic Materials,2.1587107986486496,5.5610818759590845,6.75268983577598,7.243792202223481,7.481049372346836
CHN,Consumer Goods,2.2992511799822033,5.921407935106122,7.190376260215469,7.71348768129934,7.966254258085602
CHN,Consumer Services,0.5453159007901889,1.3991246046900496,1.6988667384838423,1.8227895738917097,1.882830179914721
CHN,Financials,-0.22156153235349474,-0.4618196104095534,-0.5582124091918526,-0.6053500082684335,-0.6314994899901549
CHN,Government,0.33874632580118863,1.0539159280931711,1.2910374866187786,1.3767707515487522,1.4130741755136587
CHN,Health Care,3.692901539391056,9.495684689942605,11.530013947660713,12.369625216287442,12.775808113214572
CHN,Industrials,1.795449934054288,4.723489174998765,5.742588643233707,6.1560892801183975,6.353182142784986
CHN,Oil & Gas,1.4579026962832107,3.7823033753884543,4.594035410729836,4.926786484289344,5.086789992152389
CHN,Technology,0.08854200471081793,0.20529706099785472,0.2491577625329097,0.26880093252941156,0.27902028504404486
CHN,Telecommunications,0.16523529277823107,0.38312120999838073,0.46497316132107247,0.5016308466317372,0.5207019949559074
CHN,UK Real Estate,-0.4473095297977243,-1.3191100882345586,-1.6153779074433814,-1.7266277536683217,-1.776075936642521
CHN,Utilities,1.2263699063399869,7.090386900060959,8.790574286458398,9.226610091678886,9.32413663433726
CHN,FTSE,-1.8571308954403651,-4.949253859084692,-6.017917919428457,-6.447248486959003,-6.6499434423996835
USA,Basic Materials,0.8608045299963276,2.1785083775784737,2.4989789610733317,2.6087115053099494,2.594883088764393
USA,Consumer Goods,0.749567811833083,1.8403625922094853,2.112692922289822,2.210012958845689,2.2026916184577563
USA,Consumer Services,0.14315817328346134,0.3425213414374476,0.3934443318842137,0.4123367010818062,0.4117771806005148
USA,Financials,-0.2519217536238434,-0.39883577326613207,-0.4626808629018868,-0.5031914553762925,-0.5231411060761931
USA,Government,0.2927678283989191,0.6759696518435199,0.777905004033113,0.8166968619164408,0.8152364231312784
USA,Health Care,1.221408886792863,3.0508258561100168,3.500983463649005,3.6580797071130706,3.642012259336273
USA,Industrials,0.5256745923395982,1.2923591993663777,1.4838040890670472,1.552296930225593,1.5476262658020477
USA,Oil & Gas,0.5769221471604317,1.461290952186634,1.6762499671826767,1.7497528242222145,1.740351826645778
USA,Technology,0.038522109180650216,0.07205998521630101,0.08334039829750081,0.08914960122429577,0.09098140530478148
USA,Telecommunications,0.07188917858465917,0.13447688239834646,0.1555281604241726,0.16636917706426507,0.169787652674118
USA,UK Real Estate,-0.5666561335668812,-1.118005173157547,-1.290388365466226,-1.3728356712556016,-1.3918958799561223
USA,Utilities,0.2480971943812068,0.8758332553751776,1.0001635194151706,1.0212661734059232,0.9865487628781566
USA,FTSE,-0.4791949838724166,-1.129517757816462,-1.2977777046201422,-1.361621864999018,-1.361533052763939
GBR,Basic Materials,1.230431036312294,2.8614060155191514,3.3181649742172312,3.504477736690737,3.549191011599581
GBR,Consumer Goods,0.987740892157196,2.2258266176306654,2.581361012691682,2.7318314746656114,2.771678139470534
GBR,Consumer Services,0.17800861828132786,0.38347448919153515,0.4449399599110888,0.47242502148827936,0.4808980025989257
GBR,Financials,-0.24312852084317899,-0.3401531359718332,-0.3968240225801323,-0.43828988383123557,-0.4638641764111809
GBR,Government,0.29178188230687274,0.4792580384069059,0.5578583248083736,0.6057415491360035,0.629547972479215
GBR,Health Care,1.6402073128821648,3.729861362807155,4.326427930365166,4.5766180890695365,4.642351623119933
GBR,Industrials,0.6965572493279966,1.514312841623362,1.7572308975830773,1.864512427747471,1.8962790337851443
GBR,Oil & Gas,0.9089803421896189,2.12226952186335,2.4606111347793442,2.59760881565482,2.629019273590356
GBR,Technology,0.0459577872702417,0.06856728798539985,0.07997532314038303,0.08774571377549355,0.09224480765595236
GBR,Telecommunications,0.08576549017429513,0.12795888168875602,0.149248325439375,0.1637492707905349,0.1721453885089259
GBR,UK Real Estate,-0.26461039031435624,-0.39554787707465205,-0.4606732712693353,-0.5049395291646434,-0.5300604147918822
GBR,Utilities,2.853176060912097,6.860824936148015,7.9420324152578825,8.355263646845302,8.412185734647663
GBR,FTSE,-0.8698833568693478,-1.9353574525069237,-2.2439075797716934,-2.3757315638379737,-2.4100853380265876
CHE,Basic Materials,1.017405061241132,1.5744724180646559,1.8296410510279777,1.9984042924671876,2.092643536177204
CHE,Consumer Goods,0.9154931564079778,1.4078948529345967,1.6369316677015957,1.7892514848321777,1.8751477985009395
CHE,Consumer Services,0.20139078007012096,0.30867342768916906,0.35906748617419215,0.39266256283822987,0.41173644904247175
CHE,Financials,-0.1810844577086733,-0.25159928989331626,-0.29404244336679364,-0.3252620325827336,-0.34517280375206505
CHE,Government,0.26063219163987056,0.401608601417093,0.46807417267701235,0.5117734053127828,0.5365076831348615
CHE,Health Care,1.5662963553703537,2.416029198835324,2.807924887878596,3.06802324121763,3.213888259351109
CHE,Industrials,1.1267944550223912,1.850944532093726,2.154901770603728,2.3402471139131302,2.436029556472026
CHE,Oil & Gas,0.7077694951269037,1.095542861380335,1.2732091918807527,1.3907625628264155,1.4566814843791174
CHE,Technology,0.05954139322485233,0.0851018891329071,0.09958409978818993,0.10991193050725827,0.11640314745055531
CHE,Telecommunications,0.11111494001140712,0.15881541888263132,0.1858418265805057,0.2051154147288974,0.21722919208932417
CHE,UK Real Estate,-1.0235595182722628,-1.4190275229103921,-1.6555801518986548,-1.8306208121111416,-1.9400371953272972
CHE,Utilities,2.2359478113570472,3.5424005511664136,4.121149133925149,4.498585993635783,4.720003007836305
CHE,FTSE,-0.9084386372345332,-1.4266993684358364,-1.6599950408223578,-1.8113314410845005,-1.8958483141826588
RUS,Basic Materials,1.3204805429310429,4.3405480277688655,5.723537333255499,6.005250373826727,6.2209640123883325
RUS,Consumer Goods,1.162563465391027,3.8391631026352155,5.0652580490077055,5.313702048788486,5.504270303454676
RUS,Consumer Services,0.261554380217915,0.8569219595415409,1.1301317323061917,1.1859211800300973,1.228702438296669
RUS,Financials,-0.12101872434770326,-0.2595978446003942,-0.3323394077915054,-0.3559095206313303,-0.3736982243583606
RUS,Government,0.2577408901445023,0.8636004427024682,1.1470335684177737,1.2029478403047071,1.2471832377236642
RUS,Health Care,2.106989394392552,6.996176659821746,9.231011189635103,9.681723821321667,10.027042665568914
RUS,Industrials,0.9303359347852289,3.055591640417413,4.02942746928422,4.227986126920215,4.380012782748732
RUS,Oil & Gas,0.8912562656422198,2.9726772063618547,3.924671633220913,4.115676910902655,4.262362585315184
RUS,Technology,0.052526631417795795,0.13357967129838985,0.17353821728847246,0.18415342687504593,0.1922309067332867
RUS,Telecommunications,0.09802413384834172,0.2492836724026939,0.32385350021750303,0.3436633889778537,0.3587374180067403
RUS,UK Real Estate,-0.38611689360533824,-1.0656263519457767,-1.3969001750350114,-1.4766604072363236,-1.5386392193948628
RUS,Utilities,0.8400893241391116,5.579224873882463,7.670114492640746,7.905254340220889,8.113014131499607
RUS,FTSE,-0.9444659907596935,-3.3444924655516726,-4.437749993488149,-4.644088933961218,-4.804606975378407
IND,Basic Materials,2.9520221649427048,10.260686451777556,12.527106406608757,13.281804970159456,13.57109954314071
IND,Consumer Goods,2.986384835226747,10.379601521905512,12.672526610133668,13.436080315249647,13.728733966953085
IND,Consumer Services,0.6832126783310668,2.3716786219496964,2.8957493753793644,3.070431692209982,3.137465924248966
IND,Financials,-0.4592972245141818,-0.9748507014789991,-1.1760730948135305,-1.2730570142942592,-1.32628955734257
IND,Government,0.14843260722645513,0.5941475320163075,0.7309997317634623,0.7731926414663668,0.7874799213005146
IND,Health Care,5.10312232958086,17.738623795467234,21.656980855178674,22.9617243762994,23.46184385737645
IND,Industrials,2.242228823945823,7.762447681540318,9.478304270794514,10.051386732650444,10.272011208877064
IND,Oil & Gas,2.0116081041233906,6.999585984945853,8.545646834372262,9.060072706079538,9.257050026047237
IND,Technology,0.05795506377646055,0.17802941200277553,0.21769487772887886,0.23212859477950998,0.23829823376413978
IND,Telecommunications,0.1081545641795764,0.332234876672279,0.4062577640447037,0.43319367396145525,0.4447073290598555
IND,UK Real Estate,-0.38404958313097276,-1.0682813433050302,-1.3041038333089807,-1.3962630059150116,-1.4390493458397977
IND,Utilities,0.7765429686555467,4.217924658950636,5.175278937756492,5.418704193116695,5.4715667706397735
IND,FTSE,-2.2801476717240954,-7.899514105854626,-9.643672439628231,-10.22562394561449,-10.449291015138481
TUR,Basic Materials,1.5682315088144665,5.751005526581176,6.610946822393217,6.875049106114602,7.020372079429126
TUR,Consumer Goods,1.430725548395991,5.247251689035792,6.029974586618744,6.2708712665195545,6.40398240932375
TUR,Consumer Services,0.3325621360295501,1.2117318842208706,1.3922016595768723,1.4482233806401559,1.4793843028874434
TUR,Financials,-0.14560135232956622,-0.32222713436577877,-0.37022548495938085,-0.3954890355287571,-0.412712449643194
TUR,Government,0.46834763957659675,1.8820423061911606,2.1393100753612986,2.21760308235046,2.266588861147135
TUR,Health Care,2.6238240442617227,9.59763711875762,11.032230768955689,11.47426747577952,11.718097157080882
TUR,Industrials,1.2320444120769851,4.706243268713643,5.402251157132518,5.609910868319579,5.724510141635371
TUR,Oil & Gas,1.063921585105162,3.943189171569945,4.531729276498145,4.710787491575752,4.809306884912864
TUR,Technology,0.10042404037160411,0.30456731056225705,0.3477463556403878,0.3649180962108358,0.37613254533817664
TUR,Telecommunications,0.18740930665586705,0.5683773356589057,0.6489571935316931,0.6810027473898512,0.7019309248233166
TUR,UK Real Estate,-0.24415010821450692,-0.8212223844045708,-0.9356465518188697,-0.977147696147483,-1.004132274193344
TUR,Utilities,1.016749559934198,6.880306291383783,7.810918296734858,7.971391768249503,8.059543667557861
TUR,FTSE,-1.2323697790393182,-4.767112320813861,-5.469550778909596,-5.676268796127299,-5.791041055885622
RASIA,Basic Materials,1.917172716994611,4.681212045566498,5.625071279353793,6.028109883922132,6.224282742099616
