region,2025,2030,2035,2040,2045
CHN,-0.7161491472831124,-0.9228457026367238,-1.4411931300457232,-1.8304254588444058,-2.077809837309709
USA,-0.1449684079624941,-0.6731902926348479,-0.9159913418594245,-1.268434167611933,-1.9045843730981251
GBR,0.11637267664698818,-0.1406589913990945,-0.22555279284628543,-0.37503753645948845,-0.7041761900986084
CHE,0.0672826159885526,-0.11304003181107813,-0.17515258681202947,-0.28171597248381297,-0.5111209221704942
IND,-1.1747185453075348,-2.0269112045460895,-2.586006236991693,-3.265414603729911,-4.193127215178565
TUR,-0.7271678102728351,-1.4738257856066546,-1.909942846442628,-2.4696380696679814,-3.314122252833651
