shock,region,spot_pct,fwd5y_pct,rate_bp
"CBAM (EU, applied prices)",CHN,-0.02102409825188645,-0.021024098251886444,0.0
"CBAM (EU, applied prices)",USA,-0.020925693467334697,-0.020925693467334708,0.0
"CBAM (EU, applied prices)",GBR,-0.019668233009967284,-0.019668233009967253,0.0
"CBAM (EU, applied prices)",CHE,-0.018684000595060223,-0.018684000595060216,0.0
"CBAM (EU, applied prices)",IND,-0.020966128122997762,-0.020966128122997668,0.0
"CBAM (EU, applied prices)",TUR,-0.01872817454531226,-0.018728174545312292,0.0
"US applied tariffs, May 2026",CHN,-0.0020185839288828686,-0.002018583928882836,0.0
"US applied tariffs, May 2026",USA,0.7098687363818909,0.7098687363818909,0.0
"US applied tariffs, May 2026",GBR,0.0014494045297597318,0.0014494045297597583,0.0
"US applied tariffs, May 2026",CHE,0.00025776182554072575,0.0002577618255407508,0.0
"US applied tariffs, May 2026",IND,-0.0013037940921133044,-0.001303794092113314,0.0
"US applied tariffs, May 2026",TUR,-0.0006586971539035332,-0.0006586971539036118,0.0
"EU-US framework, Jul 2026",CHN,0.006864563050836616,0.006864563050836599,0.0
"EU-US framework, Jul 2026",USA,0.30090598955219067,0.30090598955219067,0.0
"EU-US framework, Jul 2026",GBR,0.008322393385059015,0.00832239338505905,0.0
"EU-US framework, Jul 2026",CHE,0.007529454931606301,0.007529454931606318,0.0
"EU-US framework, Jul 2026",IND,0.007170703527185367,0.007170703527185386,0.0
"EU-US framework, Jul 2026",TUR,0.007154859601342547,0.007154859601342465,0.0
EU steel safeguard 2026/1384,CHN,-0.014405260194390198,-0.014405260194390226,0.0
EU steel safeguard 2026/1384,USA,-0.014322976112174996,-0.014322976112174996,0.0
EU steel safeguard 2026/1384,GBR,-0.012771682861181948,-0.012771682861181929,0.0
EU steel safeguard 2026/1384,CHE,-0.011320714358434012,-0.011320714358433988,0.0
EU steel safeguard 2026/1384,IND,-0.014334799012852053,-0.014334799012851937,0.0
EU steel safeguard 2026/1384,TUR,-0.010809168361871216,-0.010809168361871225,0.0
USA 25% on CHN manufactures,CHN,-0.0007390913934095255,-0.0007390913934095418,0.0
USA 25% on CHN manufactures,USA,0.3315798373425202,0.33157983734252017,0.0
USA 25% on CHN manufactures,GBR,0.0006087988932117286,0.0006087988932117292,0.0
USA 25% on CHN manufactures,CHE,0.00017834902489340454,0.00017834902489343232,0.0
USA 25% on CHN manufactures,IND,-0.00047315816414235346,-0.0004731581641423399,0.0
USA 25% on CHN manufactures,TUR,-0.0002602936222766277,-0.0002602936222766833,0.0
Global 10% on all imports,CHN,-0.5845495729712845,-0.5845495729712846,0.0
Global 10% on all imports,USA,-0.2239926536088554,-0.2239926536088554,0.0
Global 10% on all imports,GBR,0.7852683389821122,0.7852683389821122,0.0
Global 10% on all imports,CHE,1.1463141514770352,1.1463141514770352,0.0
Global 10% on all imports,IND,-0.026521406891227534,-0.026521406891227492,0.0
Global 10% on all imports,TUR,0.9836759439745102,0.9836759439745102,0.0
