scenario,region,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
Below 2?C,EU27,-0.919014,-0.811615,-0.698030,-0.576425,-0.444307,-0.298234,-0.133360,0.057303,0.284109,0.562915,0.919014
Below 2?C,CHN,-4.287405,-3.795918,-3.272966,-2.709766,-2.094540,-1.411211,-0.637400,0.258793,1.324132,2.629568,4.287405
Below 2?C,USA,-1.025361,-0.882655,-0.732230,-0.572789,-0.402696,-0.219857,-0.021534,0.195933,0.437572,0.710527,1.025361
Below 2?C,GBR,-0.578253,-0.509339,-0.437168,-0.360657,-0.278287,-0.187883,-0.086267,0.031315,0.172188,0.348028,0.578253
Below 2?C,CHE,-0.221820,-0.208365,-0.194065,-0.178253,-0.159888,-0.137324,-0.107934,-0.067444,-0.008735,0.080414,0.221820
Below 2?C,RUS,-3.971422,-3.425689,-2.853152,-2.248065,-1.603060,-0.908530,-0.151726,0.684647,1.624667,2.702963,3.971422
Below 2?C,IND,-6.242174,-5.359405,-4.431926,-3.451646,-2.408472,-1.289642,-0.078785,1.245487,2.711699,4.358883,6.242174
Below 2?C,TUR,-3.832002,-3.341453,-2.817034,-2.252663,-1.640759,-0.971753,-0.233380,0.590376,1.520897,2.587528,3.832002
Below 2?C,RASIA,-2.819749,-2.484932,-2.129260,-1.747256,-1.331648,-0.872614,-0.356631,0.235344,0.930849,1.771014,2.819749
Below 2?C,LAM,-2.403199,-2.065445,-1.710343,-1.334951,-0.935532,-0.507246,-0.043681,0.463867,1.027581,1.665119,2.403199
Below 2?C,MEA,-3.024909,-2.579409,-2.112782,-1.621797,-1.102474,-0.549840,0.042441,0.682620,1.381745,2.155123,3.024909
Below 2?C,AFR,-5.579073,-4.701040,-3.788999,-2.838372,-1.843646,-0.798105,0.306556,1.480787,2.738024,4.096019,5.579073
Below 2?C,ROW,-3.125011,-2.682831,-2.218356,-1.727601,-1.205580,-0.645960,-0.040560,0.621418,1.354577,2.179277,3.125011
Current Policies,EU27,-0.023623,-0.022076,-0.020394,-0.018497,-0.016270,-0.013543,-0.010061,-0.005433,0.000951,0.010082,0.023623
Current Policies,CHN,-0.402650,-0.356635,-0.307640,-0.254835,-0.197112,-0.132954,-0.060256,0.023977,0.124134,0.246859,0.402650
Current Policies,USA,-0.026357,-0.023418,-0.020271,-0.016862,-0.013119,-0.008941,-0.004188,0.001340,0.007934,0.016040,0.026357
Current Policies,GBR,-0.014864,-0.013987,-0.013041,-0.011977,-0.010720,-0.009156,-0.007109,-0.004303,-0.000290,0.005671,0.014864
Current Policies,CHE,-0.005702,-0.006065,-0.006442,-0.006805,-0.007103,-0.007249,-0.007093,-0.006381,-0.004663,-0.001135,0.005702
Current Policies,RUS,-0.427131,-0.368183,-0.306341,-0.240994,-0.171361,-0.096426,-0.014847,0.075187,0.176182,0.291720,0.427131
Current Policies,IND,-0.586232,-0.502633,-0.414855,-0.322161,-0.223634,-0.118120,-0.004144,0.120215,0.257507,0.411213,0.586232
Current Policies,TUR,-0.170270,-0.150647,-0.129475,-0.106418,-0.081041,-0.052781,-0.020891,0.015635,0.058191,0.108758,0.170270
Current Policies,RASIA,-0.264816,-0.232838,-0.198894,-0.162486,-0.122956,-0.079422,-0.030671,0.024997,0.090031,0.168083,0.264816
Current Policies,LAM,-0.743402,-0.634381,-0.519861,-0.399060,-0.271027,-0.134589,0.011720,0.169771,0.342005,0.531698,0.743402
Current Policies,MEA,-0.134408,-0.115378,-0.095419,-0.074364,-0.052004,-0.028063,-0.002178,0.026142,0.057590,0.093169,0.134408
Current Policies,AFR,-0.247899,-0.209578,-0.169748,-0.128185,-0.084611,-0.038681,0.010045,0.062140,0.118369,0.179784,0.247899
Current Policies,ROW,-0.244961,-0.210338,-0.173977,-0.135564,-0.094709,-0.050910,-0.003519,0.048326,0.105795,0.170537,0.244961
Delayed transition,EU27,-1.142573,-1.010202,-0.870172,-0.720169,-0.557047,-0.376446,-0.172213,0.064547,0.347047,0.695573,1.142573
Delayed transition,CHN,-5.652644,-5.004437,-4.314722,-3.571928,-2.760531,-1.859356,-0.838924,0.342767,1.747281,3.467990,5.652644
Delayed transition,USA,-1.274790,-1.097970,-0.911556,-0.713915,-0.502990,-0.276134,-0.029886,0.240401,0.541128,0.881413,1.274790
Delayed transition,GBR,-0.718919,-0.634140,-0.545331,-0.451124,-0.349593,-0.237974,-0.112221,0.033737,0.209271,0.429349,0.718919
Delayed transition,CHE,-0.275780,-0.259732,-0.242675,-0.223769,-0.201695,-0.174364,-0.138429,-0.088430,-0.015251,0.096798,0.275780
Delayed transition,RUS,-5.124877,-4.420687,-3.681913,-2.901142,-2.068864,-1.172678,-0.196126,0.883123,2.096166,3.487733,5.124877
