region,2025,2030,2035,2040,2045
CHN,-0.47635263743277656,-0.7666916839413345,-0.8571174625090621,-0.9502772749202699,-1.006839290236975
USA,0.09316733343133338,-0.44361404300872376,-0.420982543177098,-0.5073625633231829,-0.58071020809333
GBR,0.2440098716289181,-0.034486583044782596,0.014731367527201875,-0.004796367710990304,-0.02755712951477396
CHE,0.15592400275715165,-0.03812839454561048,-0.006534262594794685,-0.021963008532892597,-0.03892435002406654
IND,-0.8497271761800405,-1.6286501856370301,-1.7844469231729057,-2.0370834603823202,-2.2205007413700657
TUR,-0.4234161614081438,-1.1338365445419578,-1.2085950222514659,-1.3935752487377626,-1.5333818540360793
