scenario,region,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
Below 2?C,EU27,6.325405,5.519291,4.666349,3.756234,2.784424,1.848265,0.626973,-0.699724,-2.338892,-4.139659,-6.325405
Below 2?C,CHN,10.426374,9.319200,8.137093,6.856079,5.443483,3.854031,0.961578,-0.030747,-2.680986,-6.090065,-10.426374
Below 2?C,USA,5.266535,4.586217,3.858958,3.076985,2.230564,1.035659,0.330620,-0.788609,-2.108603,-3.568326,-5.266535
Below 2?C,GBR,5.158988,4.486404,3.775966,3.020093,2.208763,1.328451,0.876966,-0.554877,-1.957163,-3.404882,-5.158988
Below 2?C,CHE,4.305086,3.697037,3.067876,2.412015,1.721768,0.986331,0.448886,-0.394068,-1.688945,-2.863041,-4.305086
Below 2?C,RUS,10.273789,9.112718,7.857795,6.468752,4.940530,3.253468,0.689510,-0.800897,-3.378490,-6.469607,-10.273789
Below 2?C,IND,18.375085,16.719232,14.812395,12.611004,10.060673,5.043246,1.584507,-0.507558,-5.352198,-11.216708,-18.375085
Below 2?C,TUR,12.339277,10.873010,9.287573,7.560401,5.663233,3.560184,1.105215,-1.285522,-4.317821,-7.888313,-12.339277
Below 2?C,RASIA,9.312454,8.232064,7.075319,5.824007,4.454162,3.055706,0.630659,-0.565568,-3.065185,-5.852032,-9.312454
Below 2?C,LAM,7.876779,6.963595,5.970170,4.882863,3.684296,1.828051,0.954139,-0.639714,-2.805121,-5.108332,-7.876779
Below 2?C,MEA,8.362338,7.187202,5.946750,4.630766,3.226686,1.760794,0.316362,-1.694378,-3.660627,-5.859963,-8.362338
Below 2?C,AFR,12.725707,11.254491,9.630172,7.832226,5.835859,3.610721,1.119072,-1.686908,-4.869222,-8.510618,-12.725707
Below 2?C,ROW,8.027729,7.111524,6.112675,5.016127,3.802933,2.448872,0.649504,-0.768305,-2.830523,-5.194516,-8.027729
Current Policies,EU27,4.940926,4.212064,3.455044,2.664123,1.831853,0.936200,0.269699,-1.029879,-2.168648,-3.453311,-4.940926
Current Policies,CHN,6.631512,5.720957,4.772638,3.776968,2.773179,1.753101,0.620839,-1.020981,-2.582311,-4.410724,-6.631512
Current Policies,USA,4.018937,3.342390,2.648660,1.935224,1.198972,0.436023,0.023557,-0.888995,-1.887821,-2.894541,-4.018937
Current Policies,GBR,3.923783,3.356363,2.764325,2.143118,1.486842,0.787693,0.303825,-0.673919,-1.695308,-2.725278,-3.923783
Current Policies,CHE,4.084444,3.468713,2.833097,2.173156,1.482998,0.754640,0.235351,-0.823479,-1.796451,-2.850685,-4.084444
Current Policies,RUS,5.159170,4.438280,3.683059,2.886647,2.040207,1.132762,0.381370,-0.936770,-2.149044,-3.534002,-5.159170
Current Policies,IND,9.310372,8.166278,6.932957,5.595228,4.048074,1.475282,0.736804,-1.661634,-3.819583,-6.263287,-9.310372
Current Policies,TUR,6.439088,5.519463,4.555405,3.538938,2.460014,1.305783,0.329895,-1.300983,-2.805995,-4.498016,-6.439088
Current Policies,RASIA,6.540413,5.608424,4.637677,3.619602,2.543008,1.484190,0.474356,-1.215282,-2.741184,-4.486475,-6.540413
Current Policies,LAM,6.370418,5.482875,4.547366,3.555813,2.498058,0.981354,0.462320,-1.223720,-2.724985,-4.419270,-6.370418
Current Policies,MEA,4.911474,4.126950,3.316652,2.476585,1.601786,0.576173,0.006475,-1.303465,-2.402122,-3.594992,-4.911474
Current Policies,AFR,6.769067,5.753109,4.691825,3.578363,2.404328,0.996159,0.032324,-1.600375,-3.154488,-4.862918,-6.769067
Current Policies,ROW,4.849418,4.143750,3.406966,2.633298,1.815434,0.880000,0.255511,-1.013417,-2.138632,-3.401418,-4.849418
Delayed transition,EU27,6.862911,6.014334,5.113005,4.147084,3.137578,2.121286,0.645529,-0.610486,-2.443238,-4.430048,-6.862911
Delayed transition,CHN,12.155740,10.901907,9.559528,8.099548,6.482317,4.652839,1.271643,0.326819,-2.873453,-6.998678,-12.155740
Delayed transition,USA,5.733321,5.016123,4.245112,3.411342,2.503588,1.208528,0.408018,-0.759378,-2.209153,-3.840714,-5.733321
Delayed transition,GBR,5.619592,4.903546,4.145142,3.335762,2.463973,1.514282,0.966671,-0.426836,-2.068394,-3.666921,-5.619592
Delayed transition,CHE,4.519708,3.891073,3.240344,2.561446,1.845959,1.081956,0.465871,-0.297065,-1.722278,-2.970257,-4.519708
Delayed transition,RUS,12.280977,10.915633,9.438225,7.816594,5.994202,3.979250,0.914871,-0.868955,-3.963690,-7.686417,-12.280977
Delayed transition,IND,21.903885,20.019375,17.824210,15.264465,12.272879,6.325691,1.786858,-0.007945,-6.125173,-13.223348,-21.903885
Delayed transition,TUR,14.288466,12.718555,10.908500,8.927451,6.741119,4.305979,1.246152,-1.405095,-4.999289,-9.225218,-14.288466
Delayed transition,RASIA,10.542976,9.370856,8.107730,6.731752,5.216233,3.651632,0.715003,-0.353132,-3.299536,-6.516431,-10.542976
Delayed transition,LAM,9.013217,8.033059,6.951957,5.753123,4.415224,2.309373,1.034711,-0.446921,-3.039043,-5.741298,-9.013217
