scenario,region,tenor,2025,2030,2035,2040,2045
Below 2?C,IND,5Y,-43.06089294258318,-50.56991782782555,-58.29852403134813,-64.55015005228088,-67.82951512790788
Below 2?C,IND,10Y,-39.158085124837314,-45.986532367046394,-53.01465925743428,-58.69967150794076,-61.68181256474712
Below 2?C,IND,20Y,-32.70326727419288,-38.406113430172184,-44.275724045720686,-49.023619007710266,-51.51418400135505
Below 2?C,TUR,1D,-38.09612104372879,-44.73938135256632,-51.576906013778036,-57.10774119481204,-60.009006828904774
Below 2?C,TUR,1M,-38.03478201979648,-44.66734593509293,-51.493861415386974,-57.01579133199404,-59.91238560330002
Below 2?C,TUR,3M,-37.90835088373012,-44.518867542638795,-51.32269105359018,-56.82626556402528,-59.713231287854526
Below 2?C,TUR,6M,-37.71975368693643,-44.29738247596513,-51.06735639937892,-56.54355016913773,-59.416152998510725
Below 2?C,TUR,1Y,-37.34630310416449,-43.85880900493396,-50.561755695666605,-55.98373151449016,-58.82789367032097
Below 2?C,TUR,5Y,-34.53016785611433,-40.55159175154747,-46.749096059163264,-51.76222238156203,-54.391917652253895
Below 2?C,TUR,10Y,-31.40053909442996,-36.87621350240139,-42.51200934069844,-47.070772846504134,-49.46212667651963
Below 2?C,TUR,20Y,-26.22447495287608,-30.797539317475582,-35.504330699511485,-39.31162773395296,-41.308790853672456
Below 2?C,RASIA,1D,-38.512471734987905,-44.08144442053349,-52.06838962418235,-57.41797298788119,-60.25566646029351
Below 2?C,RASIA,1M,-38.4504623397864,-44.010468355249095,-51.98455368210288,-57.325523617111756,-60.15864808504153
Below 2?C,RASIA,3M,-38.322649443859575,-43.864173484673245,-51.81175221379132,-57.13496827035737,-59.95867517031182
Below 2?C,RASIA,6M,-38.13199107729049,-43.645945575359676,-51.55398443965466,-56.85071705384478,-59.660375777250174
Below 2?C,RASIA,1Y,-37.75445907089777,-43.21382176177296,-51.04356579554055,-56.287857243280484,-59.06969848154654
Below 2?C,RASIA,5Y,-34.90754641493621,-39.955240414996624,-47.19457478772751,-52.043415206329804,-54.61548893042691
Below 2?C,RASIA,10Y,-31.743714089670764,-36.3339122446893,-42.91711227243939,-47.32647986547913,-49.665434656078745
Below 2?C,RASIA,20Y,-26.511080989800526,-30.344630986602162,-35.842656473308836,-39.52518401380594,-41.47858555056075
Below 2?C,LAM,1D,-36.6515169496397,-41.462414749658336,-49.35709935616613,-54.885738795595955,-57.003861154212636
Below 2?C,LAM,1M,-36.59250390018122,-41.39565561563255,-49.277628895245385,-54.79736660563831,-56.9120785499008
Below 2?C,LAM,3M,-36.47086703008678,-41.25805262463941,-49.11382549548778,-54.615215086805115,-56.72289753281974
Below 2?C,LAM,6M,-36.28942143495639,-41.05279038323936,-48.86948013104094,-54.343499851836214,-56.44069640247995
Below 2?C,LAM,1Y,-35.93013209028513,-40.64634052621538,-48.38563986033897,-53.80546315472587,-55.88189606834998
Below 2?C,LAM,5Y,-33.22078463052901,-37.58136266372488,-44.73707240963012,-49.74820852084509,-51.66806593884494
Below 2?C,LAM,10Y,-30.209831324461724,-34.17519000954654,-40.68234469703539,-45.23929837369852,-46.98515023751913
Below 2?C,LAM,20Y,-25.230043424301908,-28.54175247501125,-33.976267933594954,-37.78205347108807,-39.240119153862196
Below 2?C,MEA,1D,-42.906103672580905,-50.388136166328636,-58.08896065817204,-64.31811420902858,-67.58569108214886
Below 2?C,MEA,1M,-42.83702003760941,-50.30700562060552,-57.99543092206255,-64.21455483766319,-67.47687054585302
Below 2?C,MEA,3M,-42.694625817859894,-50.13978047733011,-57.80264874141754,-64.00109971345883,-67.25257118226328
Below 2?C,MEA,6M,-42.48221650540784,-49.890330901565676,-57.51507575906022,-63.68268892226684,-66.9179840502341
Below 2?C,MEA,1Y,-42.061614381569406,-49.3963835310576,-56.94563835661419,-63.05218805823969,-66.25545161831798
Below 2?C,MEA,5Y,-38.8899163819186,-45.67159994538313,-52.65159567850783,-58.297674907038505,-61.25939318229513
Below 2?C,MEA,10Y,-35.36514345421327,-41.53217168147147,-47.87953812956496,-53.01388709318673,-55.70717114776788
Below 2?C,MEA,20Y,-29.535554021249254,-34.68600945747776,-39.98707616637006,-44.27507916500993,-46.52440233802745
Below 2?C,AFR,1D,-46.85350545385657,-53.42592895665749,-63.26609184684103,-69.92309644281691,-72.982772230734
Below 2?C,AFR,1M,-46.77806605967132,-53.33990722412685,-63.164226349368384,-69.81051242196072,-72.86526178899194
Below 2?C,AFR,3M,-46.62257143814745,-53.16260043518534,-62.954262614281205,-69.57845581676474,-72.62305091414166
Below 2?C,AFR,6M,-46.39062026972239,-52.89811207885744,-62.641059924676384,-69.23229721533879,-72.26174519902307
Below 2?C,AFR,1Y,-45.931322355990794,-52.37438567949268,-62.020871878686464,-68.54685154789631,-71.54630598696801
Below 2?C,AFR,5Y,-42.4678251655062,-48.42504287049733,-57.3441261530059,-63.37800781392665,-66.15128539829789
Below 2?C,AFR,10Y,-38.618769822422564,-44.03605734384657,-52.1467628714276,-57.6337659400025,-60.15568855476138
Below 2?C,AFR,20Y,-32.25285269381431,-36.777154664900934,-43.55089168000626,-48.133417289056126,-50.239626238047315
Below 2?C,ROW,1D,-33.19637321394098,-37.90247211068036,-44.83709609724374,-49.5113644526727,-51.82221938209766
Below 2?C,ROW,1M,-33.14292333308044,-37.84144488323056,-44.764903348081496,-49.43164560765963,-51.73877980169378
Below 2?C,ROW,3M,-33.03275318809629,-37.71565641770211,-44.616100665756335,-49.267330242093635,-51.5667953085104
Below 2?C,ROW,6M,-32.86841249512442,-37.528017891894706,-44.39413185621262,-49.022221178772284,-51.31024621533965
Below 2?C,ROW,1Y,-32.542993408272224,-37.156465620680976,-43.95460050213862,-48.536868670377515,-50.80224074132918
Below 2?C,ROW,5Y,-30.089056520369656,-34.35464525748429,-40.64015999532892,-44.87689766035833,-46.97144709001237
Below 2?C,ROW,10Y,-27.361946212348926,-31.240924920435653,-36.956754396757105,-40.8094969388135,-42.71420766959038
Below 2?C,ROW,20Y,-22.851603628517672,-26.091171575649017,-30.86480385265958,-34.08246040276513,-35.67319866052303
Current Policies,EU27,1D,-28.74761481549051,-32.80142499970257,-38.18967944000081,-43.895328399817586,-49.2494021479207
Current Policies,EU27,1M,-28.701327934179414,-32.748611029724856,-38.12818977656634,-43.8246520021827,-49.17010509157378
Current Policies,EU27,3M,-28.605922063430828,-32.63975161533599,-38.00144814447033,-43.67897480236426,-49.006659110892365
Current Policies,EU27,6M,-28.463605223286308,-32.47736613785702,-37.81238778106571,-43.46166827188989,-48.76284690811713
Current Policies,EU27,1Y,-28.181796650339344,-32.155818669341045,-37.438020059313374,-43.031368925847254,-48.28006237705689
Current Policies,EU27,5Y,-26.05672015537691,-29.731077078933325,-34.61496880274912,-39.78654561720722,-44.639456101815455
Current Policies,EU27,10Y,-23.695079135465434,-27.03641210279396,-31.477654139197366,-36.18050703637737,-40.593575806523155
Current Policies,EU27,20Y,-19.78918283618437,-22.579730554088663,-26.28887835543904,-30.21651308929732,-33.902131704951486
Current Policies,CHN,1D,-39.263823534037634,-44.66483243104228,-52.192152063293044,-59.98560090401574,-67.29656604340927
Current Policies,CHN,1M,-39.20060437824316,-44.59291704568649,-52.10811684981778,-59.88901736457292,-67.18821103082516
Current Policies,CHN,3M,-39.07029794074473,-44.44468606175015,-51.934904646099305,-59.689940727316014,-66.9648711981827
