region,ndgain,coverage_members,members,ndgain_year,scale
EU27,0.3282,27,27,2024,0.9243
CHN,0.3941,1,1,2024,1.1099
USA,0.3169,1,1,2024,0.8924
GBR,0.2815,1,1,2024,0.7927
CHE,0.2963,1,1,2024,0.8345
RUS,0.3098,1,1,2024,0.8725
IND,0.4749,1,1,2024,1.3372
TUR,0.3958,1,1,2024,1.1145
RASIA,0.4082,8,10,2024,1.1495
LAM,0.3894,7,7,2024,1.0965
MEA,0.4296,4,4,2024,1.2099
AFR,0.4760,11,11,2024,1.3403
ROW,0.3420,14,15,2024,0.9630
