model,scenario,region,variable,unit,year,value
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2020,1.227476492394646
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2025,1.376510873188641
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2030,1.491709496471906
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2035,1.601647390163942
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2040,1.685337012492521
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2045,1.7276170713117982
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2050,1.771832512963588
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2055,1.7774399830787742
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2060,1.7877564402526231
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2065,1.770516613964618
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2070,1.774510687805011
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2075,1.7490078992928182
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2080,1.738741129704148
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2085,1.7261377068753099
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2090,1.709728569118093
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2095,1.7065572252092651
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2100,1.686508550433294
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2020,1.227436776838363
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2025,1.3764936974154591
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2030,1.470459056531782
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2035,1.587285550383923
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2040,1.701630379825108
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2045,1.802341363465012
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2050,1.92214931890171
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2055,2.010886409221198
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2060,2.111821441077727
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2065,2.184620101744508
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2070,2.286151408694159
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2075,2.341295861219729
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2080,2.424955926193664
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2085,2.502111808142552
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2090,2.580063303562126
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2095,2.675487699014733
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2100,2.753857690768699
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2020,1.227566104920079
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2025,1.375359134229428
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2030,1.471398435086458
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2035,1.609522978524938
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2040,1.714612800888395
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2045,1.775488187207955
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2050,1.835007035041438
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2055,1.8407525167845
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2060,1.855933929491743
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2065,1.839138399716005
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2070,1.845972910655413
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2075,1.81897554406266
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2080,1.807264440203987
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2085,1.7930288310612261
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2090,1.776256700946528
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2095,1.771899748760268
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2100,1.750713287229572
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2020,1.227468656957892
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2025,1.375060201051113
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2030,1.470334750844538
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2035,1.6016350098650771
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2040,1.7156314459794
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2045,1.803772403786729
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2050,1.893607441102113
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2055,1.939605547386197
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2060,1.9806388150968801
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2065,1.9939118979566741
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2070,2.025105873241594
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2075,2.023025588464593
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2080,2.040421004364852
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2085,2.054886244742177
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2090,2.071673114582413
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2095,2.097700744172792
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2100,2.109318999550796
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2020,1.227535504462074
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2025,1.376990464660009
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2030,1.499630799257658
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2035,1.601165547882734
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2040,1.6612241415042792
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2045,1.6777439907608822
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2050,1.697039438399039
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,2055,1.678551886886995
