model,scenario,region,variable,unit,year,value
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Asia (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2055,7903.737103952986
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Asia (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2060,7066.929327075501
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Asia (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2070,5294.36711494223
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Asia (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2080,3171.560860621908
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Asia (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2090,2366.577581768374
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Asia (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2100,1959.011493171784
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2020,3693.11081415946
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2025,2820.47900051375
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2030,2245.24855459696
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2035,1961.55737968432
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2040,1639.73375022733
