model,scenario,region,variable,unit,year,value
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2020,1.392797079009808
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2025,1.590972995764408
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2030,1.76338647296267
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2035,1.926744175931333
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2040,2.058056376908362
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2045,2.136447127732087
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2050,2.217324915119233
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2055,2.254838971350487
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2060,2.29433698205866
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2065,2.290836280916996
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2070,2.31557841052762
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2075,2.315335299215051
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2080,2.319246558609657
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2085,2.317637545299914
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2090,2.319213369862647
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2095,2.337066527498647
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2100,2.33719286545112
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2020,1.392729385159444
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2025,1.5911244808367782
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2030,1.7358136563464721
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2035,1.8938489029531982
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2040,2.048620060018084
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2045,2.192641026487326
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2050,2.359313578429716
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2055,2.484503386184045
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2060,2.637652607138963
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2065,2.755686073940274
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2070,2.900919601875723
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2075,3.006655909936961
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2080,3.13189000352864
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2085,3.244973570295061
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2090,3.358835303291641
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2095,3.500256060543442
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2100,3.628353592347322
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2020,1.392870599133007
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2025,1.58978417958282
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2030,1.737069384331945
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2035,1.923178456953378
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K,2040,2.082478261760769
