scenario,region,tenor,2025,2030,2035,2040,2045
Below 2?C,IDN,20Y,-30.237995726521994,-34.74789321475269,-40.89005078973616,-45.11922826811916,-47.35865517316171
Below 2?C,RUS,1D,-29.33010864965546,-34.44473820531263,-39.70893140172338,-43.96710762383429,-46.20078480508261
Below 2?C,RUS,6M,-29.040344359631476,-34.10444437175257,-39.316630423480454,-43.53273835922613,-45.74434811855323
Below 2?C,RUS,1Y,-28.752825686656735,-33.76678774940419,-38.927369701733944,-43.101735372174765,-45.291448727820665
Below 2?C,RUS,5Y,-26.584690177463404,-31.220569428160985,-35.99201254937611,-39.85160601144089,-41.87620184670569
Below 2?C,RUS,10Y,-24.17519679340142,-28.39090487380132,-32.72989004435948,-36.23967070627745,-38.0807680603523
Below 2?C,RUS,20Y,-20.190157910437453,-23.71094876790064,-27.334695722817976,-30.26592422121288,-31.80353512982008
Below 2?C,CHL,1D,-32.88993194426657,-35.91990550594804,-44.076505995903275,-49.206757976510936,-50.55927556185476
Below 2?C,CHL,6M,-32.564998685661706,-35.5650378837041,-43.64105593947156,-48.72062403613724,-50.059779540128304
Below 2?C,CHL,1Y,-32.24258359679171,-35.21292041670762,-43.208980536523676,-48.23825753951801,-49.56415451569528
Below 2?C,CHL,5Y,-29.811299410459384,-32.55765501879953,-39.95076424716761,-44.600803599762195,-45.82671999152977
Below 2?C,CHL,10Y,-27.109363513508992,-29.60680421539719,-36.32984177264602,-40.55842655943932,-41.67323248064436
Below 2?C,CHL,20Y,-22.640656655940614,-24.726419290015205,-30.341231491076798,-33.87277645894789,-34.8038177977619
Below 2?C,AUS,1D,-27.82771378371836,-29.376301591809785,-37.22887130655248,-40.91605725835261,-42.228560452592205
Below 2?C,AUS,6M,-27.552792274771807,-29.086080942580068,-36.861071869073605,-40.511830583856934,-41.811367015484905
Below 2?C,AUS,1Y,-27.280001354199825,-28.798109447094927,-36.496122805902196,-40.1107365876907,-41.39740674660246
Below 2?C,AUS,5Y,-25.22292563331404,-26.626559270763636,-33.744096251514605,-37.086146474586435,-38.27579398638318
Below 2?C,AUS,10Y,-22.936855265953582,-24.213271097195726,-30.685712793726527,-33.72485755324246,-34.806681810756174
Below 2?C,AUS,20Y,-19.155944571870194,-20.22195604687069,-25.627480603126852,-28.165652810438665,-29.069149182245056
Below 2?C,SGP,1D,-32.35608122726973,-34.48637230073297,-43.584597316929035,-47.541959436710066,-49.71431759984684
Below 2?C,SGP,6M,-32.03642210098524,-34.145667146702046,-43.154007030054345,-47.072272730565224,-49.22316926775515
Below 2?C,SGP,1Y,-31.719240270933042,-33.80760239153666,-42.72675373439193,-46.606226005299426,-48.73582723998121
Below 2?C,SGP,5Y,-29.327419310255788,-31.258306401480436,-39.50490023819507,-43.09183703174986,-45.060853560509045
Below 2?C,SGP,10Y,-26.66933970398762,-28.425221570753397,-35.924388480241525,-39.18622460813403,-40.97678006522063
Below 2?C,SGP,20Y,-22.273166361052358,-23.73960870131703,-30.002613110059613,-32.72676824571067,-34.2221685824658
Below 2?C,TUR,1D,-37.50978520237569,-44.050799363422,-50.78308796213793,-56.22879828503916,-59.085410658381214
Below 2?C,TUR,6M,-37.13921050018323,-43.61560327345863,-50.28138080502014,-55.67329070037301,-58.501681417050825
Below 2?C,TUR,1Y,-36.77150768006152,-43.18377986878821,-49.78356178106624,-55.12208819174988,-57.92247596412915
Below 2?C,TUR,5Y,-33.99871545447116,-39.92746386092685,-46.02958263314062,-50.96555213328239,-53.554773871583
Below 2?C,TUR,10Y,-30.91725468109717,-36.308653208138686,-41.85770874311851,-46.346308506199904,-48.700857107192576
Below 2?C,TUR,20Y,-25.820855131112904,-30.32353564905514,-34.95788499737605,-38.70658407882888,-40.6730089426305
Below 2?C,KOR,1D,-32.24340147008819,-33.360802310911616,-43.369518943627,-47.1012046457377,-49.182466340910096
Below 2?C,KOR,6M,-31.924855553789712,-33.03121712894996,-42.941053505074,-46.635872338705596,-48.69657238766457
Below 2?C,KOR,1Y,-31.608778306562044,-32.704186168227,-42.515908590570895,-46.17414626680394,-48.214444018319796
Below 2?C,KOR,5Y,-29.225286840522223,-30.238094379429068,-39.30995408281577,-42.69233869704557,-44.57878576088999
Below 2?C,KOR,10Y,-26.5764639721915,-27.49747608117105,-35.7471111962502,-38.82293465456897,-40.53840429910273
Below 2?C,KOR,20Y,-22.195600262747707,-22.964792756882765,-29.854558209480878,-32.423362999729136,-33.85605466754432
Below 2?C,KAZ,1D,-34.36829915150162,-37.31613207248198,-46.361828140397066,-50.86623017004701,-52.60597947837409
Below 2?C,KAZ,6M,-34.028760491010374,-36.947470549758606,-45.90380044006415,-50.36370161662506,-52.08626322104115
Below 2?C,KAZ,1Y,-33.69185318928598,-36.58166608233614,-45.449322365576464,-49.86506756202903,-51.57057466390599
Below 2?C,KAZ,5Y,-31.151285383314868,-33.82318905183777,-42.02217086528722,-46.10494238936707,-47.681844026547836
Below 2?C,KAZ,10Y,-28.32790036227168,-30.75763704787392,-38.213507231897715,-41.92623829621525,-43.36021804727509
Below 2?C,KAZ,20Y,-23.658329918601318,-25.68754886487613,-31.914393579383322,-35.01511814051773,-36.21272070241995
Below 2?C,MEA,1D,-42.218442889682734,-49.58056003615067,-57.15796257760134,-63.28728080805074,-66.50248787178685
Below 2?C,MEA,6M,-41.80134940816947,-49.09073315042464,-56.59327539408794,-62.66203955136318,-65.84548225298144
Below 2?C,MEA,1Y,-41.38748832024459,-48.60470232806334,-56.0329644267283,-62.04164379315229,-65.19356830029858
Below 2?C,MEA,5Y,-38.26662346886099,-44.93961625340495,-51.807742836930444,-57.36333174053615,-60.27758223537094
Below 2?C,MEA,10Y,-34.79834245963656,-40.86653105579533,-47.11216757254046,-52.16422776776369,-54.81434626632807
Below 2?C,MEA,20Y,-29.062184489572036,-34.130093017216474,-39.34619895430227,-43.56547766323232,-45.77875068949329
Below 2?C,AFR,1D,-46.41886409385068,-52.91549416633905,-62.67764725036904,-69.27155015359536,-72.2981251951269
Below 2?C,AFR,6M,-45.96027291171293,-52.39272008522232,-62.058428816069444,-68.58718782173769,-71.58386207501817
Below 2?C,AFR,1Y,-45.50523572229509,-51.873997401844626,-61.44400920454111,-67.90812916522299,-70.87513435556225
Below 2?C,AFR,5Y,-42.07386801955462,-47.96238687019051,-56.8107623843724,-62.78744892980761,-65.53072413342349
Below 2?C,AFR,10Y,-38.26051883405408,-43.615333995919535,-51.66174032713194,-57.09673213797714,-59.59137162646337
Below 2?C,AFR,20Y,-31.953655790122333,-36.42578334396205,-43.145820240748144,-47.684908126595275,-49.7683312992206
Below 2?C,LAM,1D,-36.54629694560991,-41.382747714145175,-49.22197960097048,-54.729578271886474,-56.858385429507024
Below 2?C,LAM,6M,-36.18524094292187,-40.973910411363086,-48.73569527986491,-54.18888210261226,-56.29665789270553
Below 2?C,LAM,1Y,-35.82698305422953,-40.56824151838544,-48.25317956793531,-53.652376223784394,-55.73928363536979
Below 2?C,LAM,5Y,-33.12541365045471,-37.509152789504064,-44.61460041773816,-49.60666526267459,-51.53620733866597
Below 2?C,LAM,10Y,-30.123104257255566,-34.1095248500859,-40.570972908013076,-45.11058383543575,-46.86524259191747
Below 2?C,LAM,20Y,-25.157612444857744,-28.486911558924636,-33.88325466771154,-37.67455623434981,-39.139977081801504
Below 2?C,ROW,1D,-40.75575503089983,-47.519761397548116,-55.14402885993813,-61.01498341011473,-64.04996146145159
Below 2?C,ROW,6M,-40.353112048496186,-47.050293995025164,-54.599238161665355,-60.41219112046309,-63.41718536673505
Below 2?C,ROW,1Y,-39.95358947111543,-46.58446487382074,-54.058669485644565,-59.81407035414749,-62.78931316402855
Below 2?C,ROW,5Y,-36.94084919313094,-43.07171682010261,-49.982321575742844,-55.303730699273224,-58.05462235651023
Below 2?C,ROW,10Y,-33.59272923618158,-39.167927984293385,-45.45219268001831,-50.29129789135553,-52.79286351905683
