china_share_pct,tau_CHN_pct,r_other_pct,effective_pct,revenue_bn,CHN_share_of_revenue_pct,USD_spot_vs_EUR_pct,USD_fwd5y_pct,USA_rate_bp,USA_gva_pct,CHN_gva_pct
7.0,11.115413409892085,6.5232913994540755,7.199999999999999,260.00401708799984,22.75000000000001,0.6879695517005895,0.553902357671278,-3.1159438928386143,-0.06231887785677228,-0.0018746720343441807
9.0,14.291245812718392,5.974406038982213,7.199999999999999,260.00401708800007,29.249999999999986,0.6936600762424405,0.5631883130876433,-3.0324741807062843,-0.06064948361412568,-0.0018314271620671946
10.0,15.87916201413155,5.69996335874628,7.199999999999999,260.00401708799996,32.5,0.6965053385133658,0.5678312907958257,-2.990739324640118,-0.059814786492802356,-0.0018098047259287012
12.0,19.054994416957857,5.151077998274416,7.199999999999999,260.004017088,38.99999999999999,0.7021958630552168,0.577117246212191,-2.907269612507789,-0.058145392250155754,-0.0017665598536517162
14.7,23.342368160773376,4.4100827616374,7.199999999999998,260.0040170879999,47.77500000000001,0.7098780711867158,0.5896532860242842,-2.79458550112914,-0.0558917100225828,-0.0017081792760777832
16.5,26.20061732331706,3.916085937212722,7.199999999999999,260.0040170880001,53.624999999999986,0.7149995432743818,0.5980106458990129,-2.7194627602100456,-0.054389255204200904,-0.0016692588910284978
18.5,29.376449726143367,3.3672005767408577,7.200000000000001,260.004017088,60.124999999999986,0.7206900678162318,0.6072966013153773,-2.6359930480777134,-0.05271986096155426,-0.0016260140187515113
20.0,31.7583240282631,2.955536556386959,7.199999999999999,260.0040170879999,65.00000000000003,0.7249579612226201,0.6142610678776512,-2.5733907639784657,-0.051467815279569305,-0.0015935803645437715
