region,2025,2030,2035,2040,2045
USA,0.08711715222902289,-0.2218280461817575,-0.21910980460009435,-0.2576350780914712,-0.2890815529515023
CHN,-0.47649413916048794,-0.7087678694223754,-0.7885005966652705,-0.8830612918335526,-0.9414192288930119
GBR,0.22854156174150597,0.07767135003962652,0.11424817110143848,0.12368291463282,0.12855781335794064
JPN,-0.13931321924359588,-0.14530044499206554,-0.17196954233686748,-0.19413044533863727,-0.21007688138445743
IND,-0.8396395368169081,-1.3419030661870641,-1.5234482552985256,-1.7351083234584934,-1.8929666128158207
CAN,0.13205495175844253,-0.0031956371184540533,0.015792889090198103,0.013190612643548781,0.009639419621010788
NOR,0.025858778731530488,0.08734350903097036,0.09498886519651126,0.10921633240002473,0.12017321159597769
IDN,-0.7037838391294433,-1.092478920269338,-1.2341507454873417,-1.39892138337346,-1.5164752291000303
CHL,-0.20401581007276762,-0.275210671708166,-0.3906086881931209,-0.42897954502459373,-0.45262604521206956
AUS,0.025215460758558093,0.025546670247061493,0.030340141367875984,0.03422517075076338,0.037011778378502155
SGP,-0.17984156976737806,-0.28753575408140447,-0.2977305497272952,-0.32017463328539825,-0.32078455329937344
TUR,-0.4132155718815133,-0.8508761273842079,-0.9487240046034814,-1.0847992510517277,-1.187717346379379
KOR,-0.17473911801273195,-0.19834079423041068,-0.1956992173898252,-0.19680143808232625,-0.17632346866521728
KAZ,-0.2709603752657355,-0.4388327722141865,-0.4362860060161453,-0.5125190994761495,-0.5337554124380692
