shock,region,spot_pct,fwd5y_pct,rate_bp
"CBAM (EU, applied prices)",USA,-0.01970582551285546,0.004427113063455051,-0.00961791437046548
"CBAM (EU, applied prices)",CHN,-0.019805472491730754,0.004059368731456833,-0.015533917391943094
"CBAM (EU, applied prices)",GBR,-0.01847099363651375,0.003997229852615625,-0.04635255337731928
"CBAM (EU, applied prices)",JPN,-0.01980187686229518,0.004107786944530979,-0.01454483436987182
"CBAM (EU, applied prices)",IND,-0.019747774180131003,0.004134860234536464,-0.01514128175667765
"CBAM (EU, applied prices)",CAN,-0.019471553692222168,0.004057940219772004,-0.022933899835467036
"CBAM (EU, applied prices)",NOR,-0.017302578275699514,0.004116866623366471,-0.06949555436335127
"CBAM (EU, applied prices)",IDN,-0.019855853635396683,0.004405201129610418,-0.006790822828530146
"CBAM (EU, applied prices)",CHL,-0.019099045144382324,0.004553511531897917,-0.02021832030114023
"CBAM (EU, applied prices)",AUS,-0.01954393800646914,0.004368947936183272,-0.014473732715708943
"CBAM (EU, applied prices)",SGP,-0.018883070267721305,0.0034964011457128174,-0.048311011906877276
"CBAM (EU, applied prices)",TUR,-0.017501871903358338,0.0032881062962970137,-0.0833857582473326
"CBAM (EU, applied prices)",KOR,-0.019459866155919693,0.0036292502254783605,-0.03265154445690845
"CBAM (EU, applied prices)",KAZ,-0.019696840366573834,0.0044343551600026145,-0.009656377590534825
"US applied tariffs, May 2026",USA,0.7099716746063722,0.5898142568634733,-2.7930214823200115
"US applied tariffs, May 2026",CHN,-0.0020218526881194913,0.0005242946864364179,-0.08536826036468353
"US applied tariffs, May 2026",GBR,0.0014602813460799318,0.0007386701236195372,-0.15747665497664012
"US applied tariffs, May 2026",JPN,-4.596137376001601e-05,-0.00023841673152006715,-0.14579997239124853
"US applied tariffs, May 2026",IND,-0.0012963668322424071,0.0005335757046383456,-0.10117248198167339
"US applied tariffs, May 2026",CAN,0.019861061977440194,-0.006220386620470871,-0.7170826070300613
"US applied tariffs, May 2026",NOR,0.001223259440463257,0.004023904228561177,-0.07975236207275707
"US applied tariffs, May 2026",IDN,-0.0016599276142358946,0.0019888048225723785,-0.06103793228147154
"US applied tariffs, May 2026",CHL,0.009079812983366803,-0.01002244794957375,-0.563075509114044
"US applied tariffs, May 2026",AUS,0.0003265211336436256,0.002981617504524214,-0.08296412401668889
"US applied tariffs, May 2026",SGP,0.008842662218866522,-0.008667481388334095,-0.5279428574861618
"US applied tariffs, May 2026",TUR,-0.0006857075076186674,0.0008615008365743439,-0.10741147061297476
"US applied tariffs, May 2026",KOR,0.0015136494025008223,-0.00707707524708332,-0.3311214085295481
"US applied tariffs, May 2026",KAZ,-0.002332786218576255,0.0031195792031657194,-0.021237844499131554
"EU-US framework, Jul 2026",USA,0.3009443016496133,0.24864167310863242,-1.1678055318100744
"EU-US framework, Jul 2026",CHN,0.006863034392142971,0.006113708965697299,-0.030198265493944047
"EU-US framework, Jul 2026",GBR,0.008326766284814829,0.005889167458786435,-0.06745275688175255
"EU-US framework, Jul 2026",JPN,0.007634343184445345,0.005619979332294179,-0.05811339058407478
"EU-US framework, Jul 2026",IND,0.007174736723906277,0.0059632802757255635,-0.04039593618728344
