,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
EU27,-1.3519290147991294,-1.1893263793827122,-1.0177167236369002,-0.8345329030321911,-0.6363028608408521,-0.4182476326026364,-0.1736559426031604,0.10711937160511724,0.4383313497909613,0.8417406457553144,1.3519290147991296
USA,-1.5083723240374052,-1.2969499895819163,-1.0741777234026018,-0.8381870060603385,-0.5866358472525093,-0.3165394369702922,-0.024019607052915948,0.29607765108871753,0.6507881282614337,1.0500328681020072,1.5083723240374056
CHN,-5.715693566268691,-5.062606160902517,-4.3674659627376125,-3.6185248880216903,-2.8000136662659814,-1.8903990092145293,-0.8596822050713181,0.33492696060088756,1.7562094216018207,3.4994799088464137,5.715693566268694
GBR,-0.8506480420629023,-0.7397675706258887,-0.6242807048017756,-0.5028476879850993,-0.3736087661151031,-0.23393100048151827,-0.08000300049457709,0.09383503231091736,0.29624166687062903,0.5409411624467128,0.8506480420629023
JPN,-1.7576705088397366,-1.5574087776935501,-1.3435234496512853,-1.1123925767485996,-0.8591983916775308,-0.577422348055896,-0.25807096694347553,0.1115473599583874,0.5498247246374115,1.0842729575410774,1.7576705088397366
IND,-8.32166761982092,-7.145311906091711,-5.909349423737142,-4.6030046475951245,-3.212824488646937,-1.7217864653244406,-0.10801703889513455,1.657100922754385,3.6118143093832815,5.808576742043084,8.321667619820921
CAN,-1.7635106790495318,-1.5091703065417068,-1.2440650042421901,-0.9660136835998355,-0.6722006696566408,-0.3589252015383588,-0.0212222951711855,0.3477292141803605,0.7575652994883936,1.2223584140890724,1.763510679049531
NOR,-0.8273693313720756,-0.7004438620389131,-0.5706003093517726,-0.4369686285585639,-0.29833264887807825,-0.15295950912207903,0.0016729098142351801,0.16932466252654158,0.35575847159546975,0.5700984373208815,0.827369331372076
IDN,-5.258425346495798,-4.520597268485573,-3.7432979604987806,-2.9197602457489014,-2.041576243643386,-1.0981633150782286,-0.07599608400653807,1.0425310152513607,2.280849185984956,3.6710121071540405,5.2584253464957955
MEA,-3.0663557341077294,-2.6229644420811513,-2.158140473466138,-1.6683718519086872,-1.1492679933459113,-0.5952448732740534,0.0009440724799751909,0.6489308644753647,1.361891846546351,2.158494282347742,3.0663557341077294
AFR,-5.6555164040218235,-4.772037460251017,-3.854140443102628,-2.8969735902941163,-1.8946362264389276,-0.8398533942771718,0.2764898812762142,1.4660369094653938,2.7440163829990265,4.130943135661553,5.6555164040218235
ROW,-4.7915572073296,-4.137068088229698,-3.448125693107688,-2.7178585759051406,-1.9375340728382957,-1.0958805996044965,-0.1780850418991054,0.8357368420839167,1.9729606011936323,3.2724540737329595,4.791557207329599
