region,2025,2030,2035,2040,2045
CHN,-0.47635263743277656,-0.7666916839413348,-0.8571174625090623,-0.9502772749202699,-1.0068392902369752
USA,0.0931673334313334,-0.44361404300872376,-0.42098254317709793,-0.5073625633231829,-0.58071020809333
GBR,0.24400987162891818,-0.03448658304478257,0.014731367527201986,-0.004796367710990249,-0.027557129514773793
CHE,0.1559240027571517,-0.038128394545610504,-0.006534262594794657,-0.021963008532892556,-0.038924350024066454
IND,-0.8497271761800406,-1.6286501856370306,-1.7844469231729059,-2.0370834603823207,-2.2205007413700653
TUR,-0.4234161614081437,-1.1338365445419578,-1.208595022251466,-1.3935752487377628,-1.5333818540360795
