region,2025,2030,2035,2040,2045
USA,0.00036560679001841184,-0.2117737180695291,-0.13588138937657632,-0.15339595495298128,-0.1497879814599518
CHN,-0.0019997151906787744,-3.2761702208866597,-4.446095372187279,-5.65996415701105,-6.783050081768712
GBR,0.0009591262413450432,0.18228990912496815,0.3351693593401245,0.4241697521076311,0.5082237577360854
JPN,-0.0005846593649076347,-0.30396403437478925,-0.41838405683698304,-0.5242252777328485,-0.607282025813033
IND,-0.003523736806974123,-3.3034031468545244,-4.37119715401638,-5.544997402921561,-6.6316826362372066
CAN,0.0005541984073528524,-0.06411315638284715,-0.011630791634593829,-0.008707434657891238,0.00600174855589781
NOR,0.00010852220078288587,0.7289904008998955,0.955392946654056,1.1722484399373356,1.3567788372285208
IDN,-0.002953587711573844,-1.7632492611627046,-2.319204156397097,-2.9637016756094208,-3.5579445979878397
CHL,-0.000856198389470095,-0.6256631742986931,-0.676985515130172,-0.8177531067281061,-0.9878293303722638
AUS,0.00010582237172463979,-0.058444394924175816,-0.07982919265304066,-0.1044204259613597,-0.11426247207754583
SGP,-0.00075474573436089,-0.7327143431497846,-0.9632448545603295,-1.2034969716563129,-1.421722718869987
TUR,-0.0017341524023198288,-2.631826315181422,-3.130273503713074,-3.6466585207218003,-4.2716859955136135
KOR,-0.0007333321440459101,-1.0119709049031245,-1.3992809093160858,-1.775111833615727,-2.1313243427874835
KAZ,-0.001137146365421326,-2.084183629096346,-2.9838796528413343,-3.557418599783683,-4.227279276735683
