region,2025,2030,2035,2040,2045
CHN,-0.4816627781569083,-0.8419367298406415,-0.9423717056417547,-1.0272815221460638,-1.082274946616399
USA,0.08806333823083021,-0.6694481543169668,-0.623618601095553,-0.7394115414718658,-0.843438966828536
GBR,0.23115164173298658,-0.17491728066504786,-0.11503303250356095,-0.155427245652309,-0.20012545705953663
CHE,0.14443639107175532,-0.13811101258373185,-0.09959193552809241,-0.12963156732076905,-0.16171983463569015
IND,-0.8487323116826314,-1.8894350892513896,-2.012656276520228,-2.2860160809213177,-2.487273068981224
TUR,-0.4176940533406919,-1.3864578808776464,-1.4296671881950753,-1.6402482776447045,-1.8051910662901625
