prices,incidence,EU27,CHN,USA,GBR,CHE,RUS,IND,TUR,RASIA,LAM,MEA,AFR,ROW,revenue_bn
applied-divergence,theta=1,-0.011102103274465699,-0.0003206891650666371,-0.00019504122269649036,-0.0009429513539198769,-0.0025558196193299423,-0.0005725546250297681,-0.0003110900549941977,-0.0016791054584310813,-0.0005492372493925053,-0.0004814380471730909,-0.0005787304348155415,-0.0006228782946046845,-0.00044255784254954597,10.420583819423356
applied-divergence,theta=0.5,-0.006139122518347028,-0.002117758694446947,-0.0003779606395962601,-0.0009864792779984495,-0.0015105595640192441,-0.010388936442070371,-0.004179067368036838,-0.011638155976266691,-0.0028649754783115306,-0.0011341382958273134,-0.0011457996334735393,-0.002791249614353937,-0.0026090930910050584,10.420583819423356
applied-divergence,theta=0,-0.0011761417622283567,-0.0039148282238272575,-0.0005608800564960299,-0.001030007202077022,-0.0004652995087085462,-0.020205318259110976,-0.00804704468107948,-0.0215972064941023,-0.005180713707230557,-0.0017868385444815356,-0.0017128688321315373,-0.004959620934103189,-0.00477562833946057,10.420583819423356
ngfs-uniform,theta=1,-0.00181405978652315,-4.906303542733943e-05,-3.0709541730489e-05,-0.00015085342556637421,-0.0004085204445185171,-9.190946667542766e-05,-4.803075179466116e-05,-0.00027169954350566845,-8.59515735893395e-05,-7.693058268029686e-05,-9.264070052851215e-05,-9.720328300224314e-05,-6.936480060903647e-05,1.7375367778950777
ngfs-uniform,theta=0.5,-0.0009934024637808887,-0.00047874972130232564,-4.741759907459476e-05,-0.00011181428715408813,-0.00024244182028142647,-7.782559921718948e-05,-0.0009205008028704855,-0.0026706708203692764,-0.0006136209421349023,-0.00012922895612837304,-0.00023880267100149475,-0.0006881940364863834,-0.00038702345860627596,1.7375367778950777
ngfs-uniform,theta=0,-0.00017274514103862788,-0.0009084364071773119,-6.412565641870054e-05,-7.277514874180202e-05,-7.636319604433588e-05,-6.374173175895131e-05,-0.00179297085394631,-0.005069642097232883,-0.0011412903106804652,-0.00018152732957644923,-0.0003849646414744774,-0.001279184789970524,-0.0007046821166035153,1.7375367778950777
