scenario,region,2025,2030,2035,2040,2045
Low demand,RUS,-29.586755601727724,-35.091681682132936,-40.004417609047195,-43.06177685781144,-43.92248088040357
Low demand,IND,-47.543535018021956,-56.38950817568998,-64.28387941800028,-69.19680966499934,-70.57989175717273
Low demand,TUR,-38.124760831930494,-45.218272301658864,-51.5487021995927,-55.48833964093557,-56.597421537244905
Low demand,RASIA,-38.54142452606992,-43.64567142461934,-51.27399804914276,-55.19587140156361,-56.53494863552543
Low demand,LAM,-36.679070717686166,-40.397835404899546,-48.710884901278526,-52.275132618396015,-53.34939007578742
Low demand,MEA,-42.93835949517063,-50.92749146410395,-58.05719585529332,-62.494248443839325,-63.74336204177779
Low demand,AFR,-46.88872884237862,-52.11921166002909,-62.84867293278034,-66.79630291028782,-68.7056092800215
Low demand,ROW,-33.22132948433976,-37.27312180334992,-44.28527730412679,-47.424666421830636,-48.703743990257976
Nationally Determined Contributions (NDCs),EU27,-28.717073695978222,-29.57173300346699,-38.34124775080787,-43.58235444045369,-46.925061897219805
Nationally Determined Contributions (NDCs),CHN,-39.22211012112465,-44.32621439715416,-52.47001688756918,-59.62464921652017,-64.16446818613082
Nationally Determined Contributions (NDCs),USA,-26.662448289463,-30.127857158970425,-35.84174702380134,-40.70863689164205,-43.81019984016564
Nationally Determined Contributions (NDCs),GBR,-23.33590775267256,-25.072845677896705,-31.251731502242123,-35.51103052837833,-38.226589005354796
Nationally Determined Contributions (NDCs),CHE,-25.2784712829714,-26.781916405438796,-33.81875091509359,-38.432500170634626,-41.37439197858952
Nationally Determined Contributions (NDCs),RUS,-29.532383658004278,-33.901108849461075,-39.748107886811006,-45.13902058462736,-48.57404091853489
Nationally Determined Contributions (NDCs),IND,-47.45616368048123,-54.47635345458448,-63.87201032296902,-72.53477315096775,-78.05457436645533
Nationally Determined Contributions (NDCs),TUR,-38.054698491255934,-43.68412962276514,-51.2184278366077,-58.16502448399624,-62.59130665044626
Nationally Determined Contributions (NDCs),RASIA,-38.47059647741324,-43.84916037113288,-51.6351367107629,-58.655384951497965,-63.120084419109176
Nationally Determined Contributions (NDCs),LAM,-36.61166513946949,-40.787336480887724,-49.11821146973695,-55.801393321028925,-60.059830962523044
Nationally Determined Contributions (NDCs),MEA,-42.859451145182035,-49.19964928422457,-57.68522134265559,-65.50888915341079,-70.49402980066479
Nationally Determined Contributions (NDCs),AFR,-46.80256085017968,-50.061892423041044,-63.02163858104815,-71.55983405916983,-77.00206136440724
Nationally Determined Contributions (NDCs),ROW,-33.160278239605276,-37.224435165107934,-44.53074087326231,-50.58126402420845,-54.42587443381545
Net Zero 2050,EU27,-28.76616924330457,-16.736175541294433,-35.90988658129796,-39.00047263548697,-38.941744517358444
Net Zero 2050,CHN,-39.289165385323116,-34.252504751495636,-52.05680425111164,-54.18513099911475,-55.00886630617735
Net Zero 2050,USA,-26.708031189228123,-29.263087310850896,-35.573324975618235,-38.14695643524516,-38.80379985792138
Net Zero 2050,GBR,-23.37580350164767,-18.95454838636278,-30.0519651621359,-32.448002371404506,-32.67781687360419
Net Zero 2050,CHE,-25.321688095253513,-18.59035669818941,-32.2376647881199,-34.87501772274454,-35.02330182890509
Net Zero 2050,RUS,-29.58287308303731,-35.1368724745507,-39.845553334809004,-42.637494656968435,-43.506228516962736
Net Zero 2050,IND,-47.53729612296363,-56.46212614201008,-64.02859731518957,-68.5150223157935,-69.91100771040594
Net Zero 2050,TUR,-38.11975791445994,-45.27650403804541,-51.34399362858211,-54.94162010026921,-56.06104904627194
Net Zero 2050,RASIA,-38.536366931952756,-40.21606596535509,-51.51922735131017,-54.44921290304791,-55.433173190139335
Net Zero 2050,LAM,-36.67425751073894,-35.166256273221684,-49.87067497565939,-50.76181037324146,-52.07413703666459
Net Zero 2050,MEA,-42.93272491375457,-50.99307548814587,-57.82664096073163,-61.878500576366655,-63.13926763336307
Net Zero 2050,AFR,-46.88257587418737,-46.35433137942699,-63.11055612900272,-66.92830854537044,-67.00056940674025
Net Zero 2050,ROW,-33.21697001909865,-33.88688497519858,-44.26734585321772,-46.99682570743618,-47.68920411115216
