scenario,region,index,2025,2030,2035,2040,2045
Below 2?C,EU27,Basic Materials,1.4534174873115497,3.9074271636851217,4.0746346457319,4.290089210331415,4.5845716578488185
Below 2?C,EU27,Consumer Goods,1.3532743057026655,3.580720098673077,3.738961158026129,3.939150520985523,4.208147603008138
Below 2?C,EU27,Consumer Services,0.280342361393104,0.7252363906942402,0.7587108526926043,0.8001122218592683,0.8543513676158486
Below 2?C,EU27,Financials,-0.4332499624396324,-0.6761765871003711,-0.7467480837667699,-0.8095635669849945,-0.8554501743516864
Below 2?C,EU27,Government,0.20987096599395014,0.4556953507686149,0.4847807085753213,0.5147650804787496,0.5470894071967289
Below 2?C,EU27,Health Care,2.2359469902275424,5.98037025313956,6.23891695255331,6.570218802456614,7.020422620003437
Below 2?C,EU27,Industrials,1.008055390071453,2.6335983742033537,2.7526843524762916,2.9018841554496806,3.098897669206465
Below 2?C,EU27,Oil & Gas,0.9782193625435569,2.639147785009925,2.751376793261262,2.8964169586854314,3.0954761301628686
Below 2?C,EU27,Technology,0.06315249715841974,0.11565640446731298,0.12512479996200251,0.13434761350165408,0.1422700173556243
Below 2?C,EU27,Telecommunications,0.1178539089071806,0.21583563548453383,0.23350536305411937,0.25071679056178187,0.2655014198978084
Below 2?C,EU27,UK Real Estate,-0.45880746575767734,-0.8684343463860804,-0.9371858108968931,-1.0031379182200328,-1.063478068873929
Below 2?C,EU27,Utilities,0.8806433727792354,3.021745233740786,3.1023380042020423,3.231190361523257,3.4673241921802758
Below 2?C,EU27,FTSE,-1.0133398570036518,-2.6702994952628734,-2.7896984753150758,-2.9393995930945316,-3.1400249062091197
Below 2?C,CHN,Basic Materials,2.1604757468382845,7.9350163943768734,7.780598248455344,8.268016422047051,8.526506895779818
Below 2?C,CHN,Consumer Goods,2.301131033091831,8.449576675484169,8.28512173409819,8.80424005223993,9.079229960907162
Below 2?C,CHN,Consumer Services,0.5457617475949028,1.9951285907367358,1.9569491273551625,2.0798138539563102,2.1447821046776756
Below 2?C,CHN,Financials,-0.22174267965014322,-0.627911755983268,-0.6299751776063455,-0.6745105230573025,-0.6966511881909387
Below 2?C,CHN,Government,0.3390232826380389,1.5819230664815103,1.520378843412978,1.6093893077280672,1.6508779142726335
Below 2?C,CHN,Health Care,3.6959208321515913,13.544109168940327,13.282902709803619,14.115927098645848,14.557500546362665
Below 2?C,CHN,Industrials,1.7969178824764072,6.7843135330171584,6.635181100683085,7.0479959764229285,7.263269399259839
Below 2?C,CHN,Oil & Gas,1.4590946682352113,5.40655722213041,5.297347422363509,5.628248087458725,5.803501375670528
Below 2?C,CHN,Technology,0.08861439608951441,0.2879427911995249,0.2849357367107314,0.30398330971820614,0.31330855139934494
Below 2?C,CHN,Telecommunications,0.16537038810041857,0.5373529949161124,0.5317412908387236,0.567287485132428,0.5846900619595874
Below 2?C,CHN,UK Real Estate,-0.44767524721819296,-1.9648198488882533,-1.8954658637041801,-2.009857581091418,-2.0618998022408035
Below 2?C,CHN,Utilities,1.2273725785586884,11.53849976085524,10.722410475133968,11.24499590520293,11.488000479107747
Below 2?C,CHN,FTSE,-1.8586492738233675,-7.123753017453792,-6.959759104948608,-7.389667443590195,-7.615628496468413
Below 2?C,USA,Basic Materials,0.8615083182933975,2.6936420035363153,2.7776554286015966,2.8848190255757244,3.074492460499879
Below 2?C,USA,Consumer Goods,0.7501806536983904,2.2675031959225387,2.3442865218591136,2.4389836077127405,2.598372932736067
Below 2?C,USA,Consumer Services,0.14327521849346636,0.42060495981984475,0.4358098560444594,0.45408130299997407,0.4835844480838905
Below 2?C,USA,Financials,-0.25212772324389104,-0.45219041286719325,-0.4911998453405733,-0.5267232931972403,-0.5574366596899807
Below 2?C,USA,Government,0.2930071935093551,0.82963402268639,0.8629870343708093,0.901827468222002,0.960072044858071
Below 2?C,USA,Health Care,1.2224075029136048,3.7670119632845127,3.888613638839131,4.041807760906901,4.306731739569251
Below 2?C,USA,Industrials,0.5261043805357138,1.5929092053271292,1.646286476894299,1.7128074995707177,1.8245896260383505
Below 2?C,USA,Oil & Gas,0.5773938350307237,1.8070465946672227,1.863295698239784,1.9351315707087826,2.0624029452325656
Below 2?C,USA,Technology,0.03855360461158144,0.08520495062247652,0.09046472511234248,0.09580508002846096,0.10162121391932898
Below 2?C,USA,Telecommunications,0.07194795471885775,0.1590077501434694,0.1688234345818215,0.17878949657676402,0.18964344764138852
Below 2?C,USA,UK Real Estate,-0.5671194280098937,-1.3334401147103812,-1.4087538554676768,-1.4861027612462256,-1.578554667666771
Below 2?C,USA,Utilities,0.24830003706599338,1.1282698876073949,1.1406199203757397,1.1694915079560182,1.252163272825759
Below 2?C,USA,FTSE,-0.4795867706369048,-1.3836296144393592,-1.4355867404959288,-1.4970207224331527,-1.5940412943277842
Below 2?C,GBR,Basic Materials,1.2314370288849772,3.499525635367115,3.625685029199853,3.8147585390248926,4.069238806532921
Below 2?C,GBR,Consumer Goods,0.9885484628148932,2.709370756122404,2.815620561496214,2.966330732953486,3.162476495509726
Below 2?C,GBR,Consumer Services,0.17815415699303105,0.46348558221247815,0.4837583425574024,0.5107823620070215,0.5441152913483644
Below 2?C,GBR,Financials,-0.24332730117215084,-0.3734052386466907,-0.4130067954512615,-0.4485184365517216,-0.4733967830461048
Below 2?C,GBR,Government,0.29202044131406724,0.5524339240919689,0.5948494097157297,0.6376415701239303,0.6744927116302172
Below 2?C,GBR,Health Care,1.6415483359267113,4.547207727962213,4.720571051831143,4.9720912071982415,5.301457978509789
