,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
EU27,0.0,0.06629747658574572,0.1450680135386968,0.23942263744780595,0.3535036508441468,0.4929271646083552,0.6654668257662703,0.8821440205785693,1.1590315545258427,1.5203716101175608,2.0042599809267885
USA,0.0,0.08819669750707307,0.18858271380241914,0.3032760968074674,0.434950906360915,0.5870407909377358,0.7640418874586958,0.9719780044715048,1.2191421909249824,1.5173328611814798,1.884029498663352
CHN,0.0,0.22954206355416543,0.5051422379106423,0.8380852317789527,1.243324155919465,1.7410354374697785,2.359020322361741,3.1365383301837984,4.130668389700838,5.427363538969073,7.161769865915529
GBR,0.0,0.04566086666355957,0.0989477318215588,0.16185924196819654,0.2371087637610121,0.3284538883023274,0.4412173236208149,0.5831380437396851,0.7658171367030159,1.0072901178335747,1.3368674740241628
JPN,0.0,0.09212144948631495,0.20271463578923196,0.3361604366088707,0.4982238761772815,0.6966246762630725,0.9419081401846562,1.2488159299929678,1.6385228754637542,2.1424473053022393,2.8090903116047286
IND,0.0,0.4282922650529847,0.9148801781511529,1.4701727509930822,2.1071847461558266,2.8424177365575827,3.697133824641568,4.699249505528404,5.8862473204687955,7.309837227797206,9.043802781267004
CAN,0.0,0.09965234371888232,0.2124111732765086,0.34094129000211654,0.48868520992317893,0.660169921532713,0.8614711700404482,1.1009385979403057,1.39037093496926,1.7470065234192163,2.1970811443487235
NOR,0.0,0.05111020052997428,0.10808107482211964,0.17247080674333248,0.24640016723399336,0.3328116294956479,0.4358770230957086,0.5616589668375009,0.7192234999388416,0.9225937733923636,1.1943639383184146
IDN,0.0,0.29377949152673327,0.628066992867122,1.0098405073794579,1.447793242068238,1.9529093752573796,2.5392999175529103,3.2254538610791137,4.036180712148622,5.005763436171746,6.183364970848249
MEA,0.0,0.18669908985625286,0.39739044745847657,0.6362248274391961,0.9084413214904127,1.2207711896248872,1.5820438557992107,2.0041271010419828,2.503443766096532,3.1035343456690576,3.8396356332200927
AFR,0.0,0.33501663734369863,0.704028355079796,1.11209741752402,1.5654387775721135,2.071796447442422,2.640989791286694,3.2857328461146493,4.022911962821575,4.875673976632154,5.877041025991644
ROW,0.0,0.2444415165681513,0.5249986776916549,0.8487092021803396,1.224528112607066,1.6640350547914142,2.18248586963395,2.8004256585757807,3.546256430777591,4.4605099308433305,5.603355146789516
