ACTIVITY,EU27,USA,CHN,GBR,JPN,IND,CAN,NOR,IDN,RUS,CHL,AUS,SGP,TUR,KOR,KAZ,MEA,AFR,LAM,ROW
F,23.6906,163.1294,44.4086,21.1732,7.9551,78.1206,24.3459,27.6415,41.9970,112.9501,42.2851,20.0182,26.5982,22.7877,2.1405,305.8042,86.1715,192.5679,44.8186,93.0508
G,24.0558,45.2227,16.8320,24.0355,5.8785,277.9165,61.7244,17.6634,161.1238,60.1160,60.2203,19.9492,7.5513,67.0044,115.6021,514.2858,74.3083,79.8582,82.6167,109.6091
H49,222.6633,619.8897,268.3827,308.7113,826.3603,365.4969,409.3791,154.7803,846.7454,685.0034,438.1049,227.6042,457.5780,135.7315,523.1134,850.6563,954.1963,923.1305,434.4487,765.1449
H50,510.4155,230.8976,426.7086,1003.9568,376.4834,1015.6166,573.2822,678.6336,666.9135,3149.0925,673.0233,393.2372,412.8573,398.7560,25.4782,50.5948,610.5689,575.7657,1175.5083,497.7382
H51,760.0004,768.3267,434.5361,844.2113,828.7931,1814.7680,1661.4258,788.3014,362.6688,1576.0123,713.8829,273.7559,1429.2996,202.6293,235.8876,1453.0537,1215.3383,757.7380,918.1138,476.9088
H52,39.9287,73.9500,77.1169,48.5503,2.7256,137.8114,5.6682,36.1390,99.8553,85.0536,29.7963,31.8555,9.8163,45.9937,28.7626,0.0000,82.4830,79.3913,109.1816,101.5967
H53,53.8090,80.6305,59.1864,65.9356,1.9884,98.6363,117.8865,24.2207,186.9315,131.5154,38.0899,80.1739,8.4967,33.9511,8.3553,0.0000,92.6160,212.5603,140.5481,92.6545
I,17.8754,19.2791,15.0857,26.4975,24.2994,141.0030,26.2274,8.4333,86.6235,12.4931,92.2737,22.1098,31.5722,54.8038,109.1964,4.9951,90.0305,108.8333,124.9187,152.3429
J58T60,3.9307,14.8802,11.8908,1.6934,2.5183,96.7995,6.9523,0.7943,99.4983,19.9488,5.9371,3.0315,3.0399,6.1246,8.3599,137.2208,35.5043,42.5003,51.9307,48.9039
J61,5.2579,17.5471,10.8623,3.5743,0.7469,86.0743,8.0636,6.7825,64.4947,23.3240,3.9969,18.2208,3.4937,3.6113,8.8963,5.7080,37.4011,33.3905,42.2368,36.7252
J62_63,2.7660,15.0176,8.1231,1.4988,0.8971,65.8362,4.8040,0.4566,123.3955,2.8131,3.7027,0.0420,3.2522,5.4484,24.1942,138.0918,9.5155,37.4181,25.8212,22.7678
K,3.7773,14.5010,10.3114,0.5189,0.8345,55.7825,3.3194,0.0000,62.8203,12.2748,3.9787,6.6305,2.7401,9.3674,14.4560,57.9217,25.5562,28.4229,30.8724,27.8792
L,1.9339,15.7073,8.4385,2.0231,1.9022,55.7656,25.2874,1.8908,70.0159,6.2622,9.1893,22.7901,7.7318,6.4097,34.3205,113.1757,47.4357,71.4856,33.3552,68.7227
M,7.1997,20.1075,39.6297,3.4622,1.9507,302.5513,48.4115,2.0917,70.2371,27.0518,7.3063,13.3329,8.7604,20.1434,33.3077,38.6622,41.6733,62.6605,43.3312,43.8557
N,18.3816,70.5411,15.2611,10.9884,9.5016,157.0821,86.5335,8.7426,253.4870,89.7499,40.6255,95.0746,9.0703,18.8355,53.6775,77.3735,101.7485,66.6022,69.6155,71.4819
O,16.0826,14.8634,15.7817,16.3156,2.9778,58.9277,43.6436,4.2132,74.6175,39.7123,78.6744,32.5743,10.3126,31.8019,28.8737,107.5658,29.2703,99.4488,66.2188,62.3760
P,12.8035,18.7031,14.3322,10.7358,26.0780,69.8243,41.7397,2.5232,65.2381,20.7338,16.5002,32.2203,8.0531,29.3085,64.3768,306.0442,84.5256,94.9475,44.3850,102.1377
Q,13.1464,15.8080,7.9984,15.8449,10.9469,60.1390,14.3873,1.7507,113.2517,24.4536,19.1875,31.9142,9.5250,24.0324,67.1017,41.1139,82.5894,94.1309,40.4364,81.0466
R,14.2582,23.0374,4.5832,13.9047,29.0111,234.5461,79.9016,6.6196,88.5146,33.0843,30.1352,33.1658,10.3228,8.1846,70.5957,330.2742,69.3233,28.3508,55.3789,63.3914
S,23.8237,27.2155,8.8990,12.6046,45.0900,159.8821,44.4050,7.2445,68.4960,37.3455,32.8054,75.6074,14.2004,47.1378,77.6195,158.6500,141.4528,101.8470,71.9784,139.6600
T,5.1095,0.0000,0.0000,35.9467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,142.4901,0.0000,0.0000,0.0000,0.0000,0.0000,0.8646
