ACTIVITY,EU27,USA,CHN,GBR,JPN,IND,CAN,NOR,IDN,RUS,CHL,AUS,SGP,TUR,KOR,KAZ,MEA,AFR,LAM,ROW
G,79.8750,220.8390,44.5840,12.5600,5.3660,110.6860,22.1230,1.0260,44.9880,27.9820,3.3450,5.1220,1.5050,11.6510,33.5000,26.2290,29.3940,23.4980,92.6670,206.4100
H49,176.7170,500.6190,298.9000,27.7290,130.2920,89.4610,40.7500,2.0900,39.0670,108.5730,8.5740,15.0930,2.8420,15.4360,21.9350,14.4380,46.6730,67.7170,130.5790,304.0270
H50,137.8230,15.2450,106.9200,20.3480,15.1020,6.3330,2.1610,14.9320,9.4170,17.8850,1.0750,3.2360,60.0960,3.9430,0.8830,0.0190,11.8550,9.9280,15.1660,88.2000
H51,115.4190,194.0750,53.1250,23.0020,16.4520,22.9060,18.7260,2.6910,8.4020,34.5880,3.5900,5.9440,15.0390,2.5710,6.2420,2.2980,51.2630,11.9550,35.1550,94.1220
H52,28.2090,31.6800,22.4160,3.8450,0.2230,6.5370,0.2740,0.4260,1.2050,8.1290,0.2650,1.9960,0.3200,1.1420,1.4870,0.0000,2.1710,3.1660,9.0890,17.3860
H53,8.0900,16.6340,6.1510,2.2330,0.0240,1.4480,2.3380,0.0500,0.5920,0.8540,0.0290,1.2020,0.0230,0.1550,0.1520,0.0000,0.6480,0.9460,2.0600,4.2680
I,13.8400,26.9340,11.8600,4.0370,4.2290,12.3140,1.9700,0.1050,6.2380,0.4030,1.0930,1.7410,0.4160,2.6490,16.0480,0.0200,8.2590,5.2400,24.1950,67.6060
J58T60,1.4720,14.2430,1.3370,0.1700,0.1950,2.8470,0.3020,0.0060,1.2350,0.2960,0.0120,0.1040,0.0650,0.0540,0.4470,0.1760,0.7230,1.2910,1.6210,5.6240
J61,1.7720,11.8310,4.1540,0.2620,0.1410,6.7010,0.4420,0.0560,2.5240,1.0410,0.0270,0.7380,0.0330,0.0690,0.4240,0.0160,2.8550,3.2940,4.2580,10.3400
J62_63,2.8540,20.0860,4.0170,0.2660,0.1700,15.3860,0.4100,0.0090,0.7550,0.1480,0.0270,0.0030,0.2770,0.0830,1.3110,0.4330,0.7750,1.2970,2.1690,4.0130
K,5.5960,51.1610,16.4590,0.2410,0.2420,16.7880,0.8890,0.0000,3.6260,1.6920,0.0950,1.3130,0.2870,0.4010,2.4670,0.8050,3.0860,3.3230,10.1830,20.7700
L,4.0540,70.7110,10.4400,0.9110,1.0880,13.5220,8.4770,0.0870,2.6830,1.6500,0.2610,5.5340,0.3040,0.5010,6.9080,2.6470,9.1370,9.2670,15.5720,50.0070
M,15.1430,65.5240,53.2370,1.4820,0.6210,4.8280,7.1040,0.0740,0.7670,4.2430,0.2720,2.3850,0.4210,0.6950,6.7360,0.4070,3.5870,4.8230,10.1610,20.8620
N,23.5590,130.4550,10.3630,2.9240,1.8180,21.0050,8.5340,0.1760,3.7540,5.2340,0.6670,10.8570,0.1730,0.6440,4.4220,0.5950,5.7890,2.6620,11.5300,18.8950
O,22.4860,50.9570,18.4320,4.1760,0.9530,14.7850,11.9560,0.1890,5.1080,10.4300,1.4280,4.9610,0.3010,2.0630,4.5660,1.0060,8.2720,12.3510,25.6920,47.7360
P,11.5460,32.1240,12.6890,2.5020,4.3730,11.7190,5.6130,0.0610,3.3210,1.8350,0.2820,3.5690,0.1090,1.2440,7.4600,4.1580,9.1780,8.0880,10.9950,40.5150
Q,22.6870,47.8750,5.9930,6.1340,5.6140,4.1430,3.3250,0.0970,1.8450,3.1270,0.4270,5.9380,0.1670,0.9880,9.7080,0.4780,9.6770,5.5650,10.1690,37.6980
R,5.3050,9.9190,0.7100,1.0100,1.9180,3.2870,2.0190,0.0520,0.5230,1.0570,0.0630,1.1010,0.0560,0.1370,2.6600,0.6860,1.6550,1.2570,3.1900,8.5760
S,9.1970,16.4820,3.1190,0.8190,5.0790,9.8910,2.0320,0.0530,2.6550,0.8190,0.1540,1.6810,0.0610,0.7810,4.2670,0.9240,4.1960,4.2900,7.5960,24.8980
T,0.2580,0.0000,0.0000,0.1040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0320,0.0000,0.0000,0.0000,0.0000,0.0000,0.0340
